TE_subfamily,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance
L1MEg2,L1MEg2:TE,6.1568904,0.4540607,7.41870446725541e-10,1.0052712478059574e-08,L1MEg2:L1:LINE,332.142243074904,-0.0978781459582184,0.286064929524936,0.995278921297154,True,0.0917498208104711,-1.06679386503007,L1,LINE,Not Significant
L1M3c,L1M3c:TE,11.741749,0.424911,7.785941138074468e-32,2.447869816259617e-30,L1M3c:L1:LINE,308.118794230289,0.0210952414198595,0.763677468880825,0.995278921297154,True,0.0701642433344816,0.300655154496513,L1,LINE,Not Significant
L1MCb,L1MCb:TE,15.0855255,0.41605556,2.01663487173974e-51,9.514907546332477e-50,L1MCb:L1:LINE,677.533912347737,-0.0985700777774517,0.310985140405344,0.995278921297154,True,0.0972900257081074,-1.01315707401686,L1,LINE,Not Significant
L1PB,L1PB:TE,14.707996,0.39908648,5.7278651826831465e-49,2.573258416525291e-47,L1PB:L1:LINE,1026.96242695485,-0.115502745240497,0.139684923445176,0.995278921297154,True,0.0782027449636963,-1.47696535836583,L1,LINE,Not Significant
Charlie29a,Charlie29a:TE,7.756951,0.3926905,8.699568348744678e-15,1.545304531451072e-13,Charlie29a:hAT-Charlie:DNA,1684.8508970837,-0.0079274038617624,0.856634005826231,0.995278921297154,True,0.0438800986137959,-0.180660575344972,hAT-Charlie,DNA,Not Significant
MLT1H2-int,MLT1H2-int:TE,3.0929794,0.37577432,0.0019815790092659,0.0133205898285592,MLT1H2-int:ERVL-MaLR:LTR,256.889179218672,0.212108942731533,0.203504798098931,0.995278921297154,True,0.166800901085513,1.27162947772562,ERVL-MaLR,LTR,Not Significant
L1MC2,L1MC2:TE,21.237877,0.37575963,4.267508990403324e-100,4.261128993573817e-98,L1MC2:L1:LINE,5068.30867291232,-0.0607516673278036,0.388799066257318,0.995278921297154,True,0.0704941483618359,-0.86179730856488,L1,LINE,Not Significant
L1M8,L1M8:TE,15.371472,0.37475675,2.5432342431798713e-53,1.2449007358106032e-51,L1M8:L1:LINE,805.262553259599,0.0069040563644355,0.941389724602243,0.995278921297154,True,0.0939030055931861,0.0735232735184837,L1,LINE,Not Significant
Charlie24,Charlie24:TE,7.072093,0.37248135,1.526138127510312e-12,2.4423898520938455e-11,Charlie24:hAT-Charlie:DNA,1099.44082443114,-0.0811377488448529,0.220315373525647,0.995278921297154,True,0.0661976128888351,-1.22568995019664,hAT-Charlie,DNA,Not Significant
Tigger4,Tigger4:TE,13.453203,0.3722638,2.94817742935254e-41,1.1522428171546238e-39,Tigger4:TcMar-Tigger:DNA,1491.73301319644,-0.0452163272239866,0.516190533649923,0.995278921297154,True,0.0696462186478233,-0.649228746396553,TcMar-Tigger,DNA,Not Significant
Charlie5,Charlie5:TE,10.548143,0.3665641,5.181060817284407e-26,1.3829199188586398e-24,Charlie5:hAT-Charlie:DNA,2686.12899518401,-0.116689902450734,0.17281915145825,0.995278921297154,True,0.0855999202005645,-1.36320106581085,hAT-Charlie,DNA,Not Significant
LTR106_Mam,LTR106_Mam:TE,3.2349443,0.36594337,0.0012166646245984,0.008497991004487,LTR106_Mam:LTR:LTR,156.596585107508,-0.0605006511780463,0.491748989237014,0.995278921297154,True,0.0879971452267978,-0.687529703629772,LTR,LTR,Not Significant
L1ME3E,L1ME3E:TE,17.108541,0.35982448,1.2816905271274053e-65,7.719681120804443e-64,L1ME3E:L1:LINE,2916.0195521501,-0.0870516313279466,0.214832995777681,0.995278921297154,True,0.0701811336872671,-1.24038508291781,L1,LINE,Not Significant
LTR101_Mam,LTR101_Mam:TE,4.8049364,0.35503572,1.548005383037878e-06,1.577128874142489e-05,LTR101_Mam:ERVL:LTR,739.768882664185,0.0198767665385719,0.817066126096823,0.995278921297154,True,0.0859275342881014,0.231320108312758,ERVL,LTR,Not Significant
MIR99AHG,MIR99AHG,16.19419,0.3508282,5.542302738049397e-59,3.0121864157698854e-57,,,,,,True,,,,,
