names,scores,logfoldchanges,pvals,pvals_adj,is_TE
LTR16A:TE,3.0892081,0.11369312,0.0020069080225286,0.0134787979032624,True
MLT1D:TE,6.031826,0.11301023,1.6211724379415216e-09,2.1426709596452256e-08,True
L1MA9:TE,15.755751,0.109928824,6.2710593520984e-56,3.232876309216422e-54,True
L1MA4:TE,12.871252,0.10727445,6.533467256070276e-38,2.3460377345423195e-36,True
MER3:TE,4.7522097,0.10667083,2.0120534385127976e-06,2.031998188659346e-05,True
MER21C:TE,4.52774,0.1037709,5.961786948338967e-06,5.737480202764255e-05,True
L1M6:TE,5.12974,0.10204331,2.9014199135077455e-07,3.174451237731172e-06,True
Charlie3:TE,3.0455537,0.101423234,0.0023225236195894,0.0153989515523409,True
HERVH-int:TE,3.3172183,0.10093831,0.0009091857225807,0.0064983536009904,True
MIR3:TE,4.7526307,0.099652275,2.007867346405607e-06,2.0284522049149756e-05,True
L1MA5:TE,7.3761826,0.09917579,1.6289263419514565e-13,2.730473017699443e-12,True
MLT1F:TE,4.3601403,0.09842975,1.2997903388793294e-05,0.0001209074547663,True
LTR16C:TE,4.0836196,0.09736464,4.433961865671859e-05,0.0003838212093109,True
THE1D:TE,4.1158805,0.09707749,3.85703949962011e-05,0.0003367456256457,True
MIR1_Amn:TE,4.0952005,0.09411994,4.218031734032323e-05,0.000366713751132,True
MER102b:TE,3.6852574,0.09388841,0.000228471667442,0.0017938129480067,True
L1MA5A:TE,4.344974,0.09361494,1.3929218355257385e-05,0.000128971860033,True
L1ME4b:TE,7.2629666,0.09167615,3.786912142325238e-13,6.226238754791304e-12,True
LTR40a:TE,3.1239967,0.091661096,0.0017841237376797,0.0120824332888609,True
L1PA13:TE,9.256281,0.09147409,2.116766667060696e-20,4.754814811547773e-19,True
MER58B:TE,4.0114694,0.09101533,6.0342027403669536e-05,0.0005140531841318,True
MER41-int:TE,3.867678,0.0903292,0.0001098766433033,0.0009040083532667,True
MLT1B:TE,3.8710408,0.08951314,0.0001083716651566,0.0008921145977222,True
MLT1L:TE,4.2950063,0.08852117,1.7468836567565376e-05,0.0001597765925253,True
L1MB5:TE,5.547373,0.088370785,2.8999415082198966e-08,3.464139190363632e-07,True
L1PB2:TE,4.356735,0.08778738,1.3201687768615996e-05,0.0001225754482192,True
L1P2:TE,4.631265,0.08676745,3.6343809292236138e-06,3.5778355331744424e-05,True
L1PA8A:TE,6.0754557,0.08549089,1.236362569646314e-09,1.6485748460834064e-08,True
AluYk3:TE,3.416813,0.08411652,0.0006335878403073,0.0046490435889739,True
MLT1C:TE,3.6905222,0.08147714,0.0002237942356546,0.0017593868042375,True
Charlie1b:TE,3.9532208,0.08017812,7.710620965867027e-05,0.0006469645816,True
MER44C:TE,3.5531418,0.07960179,0.0003806592254456,0.0028912592925874,True
MER21A:TE,2.8348675,0.07623973,0.0045844697517545,0.02862198553988,True
SVA_A:TE,3.5809176,0.074000135,0.0003423897122025,0.0026224573904812,True
MER11C:TE,2.7427697,0.07352301,0.0060923402779459,0.0371410318567275,True
Tigger19b:TE,2.9837198,0.06911447,0.0028476741233719,0.0186179781983783,True
LTR12C:TE,3.575344,0.068274714,0.0003497677184836,0.0026721577984304,True
LTR33:TE,3.3522818,0.06801241,0.0008014839661103,0.0057878024797797,True
MER5B:TE,3.1458979,0.06752043,0.0016557784117537,0.0112895690030076,True
Charlie25:TE,3.6800945,0.06740229,0.0002331475600038,0.001826231408891,True
Tigger4b:TE,3.1658955,0.0672515,0.001546063159807,0.0106016263445128,True
L1M3:TE,4.1319475,0.06672775,3.597026076469356e-05,0.0003152773949498,True
MLT1F2:TE,3.3587625,0.066025116,0.0007829231637,0.0056659657320023,True
L1PA6:TE,8.958444,0.06600991,3.292944762505791e-19,7.044089312249931e-18,True
Charlie21a:TE,2.8332722,0.06542271,0.0046074148067318,0.0287413557526621,True
MLT1H:TE,3.2231421,0.06234149,0.0012679266088773,0.0088232308936808,True
L1PB1:TE,11.158481,0.061522577,6.509479306100333e-29,1.8775662240388245e-27,True
MIRc:TE,4.3334403,0.060042787,1.4679711135176156e-05,0.0001356282564302,True
Tigger1:TE,8.650605,0.05417664,5.1226927747703216e-18,1.040990746083313e-16,True
L1PREC2:TE,6.699274,0.052216098,2.0945720153919717e-11,3.1335172684223844e-10,True
Tigger3:TE,3.2840173,0.04826503,0.0010233864503481,0.007243966030432,True
MIRb:TE,6.04534,0.04816695,1.4909536782710444e-09,1.9749058087455377e-08,True
Charlie2a:TE,3.116828,0.040982388,0.0018280825988849,0.0123606349852616,True
MER30:TE,2.8705423,0.03956349,0.0040976825770295,0.0259057319841443,True
L1M3e:TE,2.6487372,0.028103046,0.0080793110499396,0.048074380044731,True
MIR:TE,3.3645675,0.025496399,0.0007666370919815,0.0055636675461152,True
L1PA3:TE,6.0545464,0.016841145,1.4081408860008352e-09,1.8709847183357693e-08,True
L1PA4:TE,3.0653114,-0.020824026,0.0021744351436295,0.0145108887652049,True
L2:TE,-2.6674564,-0.02116057,0.0076427796167882,0.0456758284713801,True
L2c:TE,-3.045771,-0.021738386,0.0023208467376098,0.0153912287508522,True
AluYm1:TE,-4.630489,-0.039364554,3.648033340762835e-06,3.590099608926883e-05,True
Tigger2:TE,-3.9504094,-0.05627338,7.801759927753998e-05,0.0006538814685684,True
L1HS:TE,-2.656362,-0.058234323,0.0078988760819796,0.0470846332098172,True
L1PA10:TE,-3.1617815,-0.06267748,0.0015680718342244,0.0107402914716537,True
L1PA5:TE,-5.423055,-0.07339321,5.8588854615172014e-08,6.801421496558496e-07,True
AluSg4:TE,-8.278518,-0.07610729,1.2471814329634335e-16,2.396677619419181e-15,True
AluSg7:TE,-10.690343,-0.08325257,1.129522581806318e-26,3.058360468125125e-25,True
L1PA17:TE,-5.784641,-0.083446965,7.2667371934798295e-09,9.13432816185848e-08,True
AluSq:TE,-12.755458,-0.08716215,2.9066055967096258e-37,1.024126977832448e-35,True
AluJr4:TE,-12.190618,-0.08869761,3.487676038991126e-34,1.1595365415030783e-32,True
AluSq4:TE,-6.511904,-0.08952735,7.420418026184791e-11,1.074798379648115e-09,True
AluSx1:TE,-21.642113,-0.09072229,7.212241367295469e-104,7.741568367645188e-102,True
AluSz:TE,-22.84524,-0.0974067,1.6296583310798104e-115,2.1576819885728502e-113,True
AluY:TE,-24.377865,-0.09818933,2.9368950347054703e-131,4.9869141394391467e-129,True
THE1C:TE,-3.4615905,-0.09945408,0.0005369935056725,0.0039860063751517,True
AluSx3:TE,-18.030909,-0.10571785,1.1144366195939336e-72,7.57791687825694e-71,True
AluSp:TE,-21.440035,-0.105919674,5.657218970031314e-102,5.883311977311113e-100,True
AluSg:TE,-20.011679,-0.106535785,4.357289986544149e-89,3.709868287410323e-87,True
AluSc:TE,-20.999214,-0.10781269,6.667977620643984e-98,6.4232713906556074e-96,True
AluJo:TE,-23.974957,-0.10814765,5.075815680856671e-127,8.157948678510548e-125,True
AluSx:TE,-25.699003,-0.109100364,1.1992747250650463e-145,2.5030695737381924e-143,True
L1PA2:TE,-6.1705947,-0.10991155,6.803355623132266e-10,9.239713206201548e-09,True
AluSq2:TE,-23.34192,-0.11026422,1.6647806547732333e-120,2.4055280086158424e-118,True
AluJb:TE,-30.780893,-0.11546306,4.72203122567981e-208,2.326568007996831e-205,True
AluYa5:TE,-8.765516,-0.117932886,1.859225810797745e-18,3.8643867042549266e-17,True
AluJr:TE,-27.460295,-0.11839046,5.235050797234815e-166,1.4568467751008553e-163,True
AluSz6:TE,-25.481781,-0.11987117,3.138677466136888e-143,6.165552368937528e-141,True
AluSc8:TE,-20.894617,-0.12747176,5.993651411715506e-97,5.755245788469954e-95,True
Tigger13a:TE,-4.4081836,-0.12795933,1.0424109737397724e-05,9.790519317421515e-05,True
AluSx4:TE,-16.419317,-0.12882406,1.3912415915097735e-60,7.728977085550138e-59,True
