TE_family,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance,new_bulk_TE,new_bulk_baseMean,new_bulk_log2FoldChange,new_bulk_lfcSE,new_bulk_stat,new_bulk_pvalue,new_bulk_padj,new_bulk_TE_class,new_bulk_significance,_merge
MER6A,MER6A:TE,4.559717,0.2792618,5.122251110196964e-06,4.959705448355984e-05,MER6A:TcMar-Tigger:DNA,1426.81284757204,0.0301242143780378,0.592113184725249,0.995278921297154,True,0.0562253613927682,0.535776269495217,TcMar-Tigger,DNA,Not Significant,MER6A:TcMar-Tigger:DNA,1426.74831801563,0.0299953663765134,0.056027877925476,0.535365026967663,0.592397468746867,0.9962736297742,MER6A,Not significant,both
MER68C,,,,,,,,,,,,,,,,,MER68C:ERVL:LTR,96.3964656079805,-0.10494615668356,0.110386384200264,-0.950716498632354,0.341748310592048,0.9962736297742,MER68C,Not significant,right_only
MER66B,,,,,,,,,,,,,,,,,MER66B:ERV1:LTR,6416.24363476381,-0.261590340252547,0.505921224379188,-0.51705745409978,0.605116052434328,0.9962736297742,MER66B,Not significant,right_only
MER68B,,,,,,,,,,,,,,,,,MER68B:ERVL:LTR,976.624287149336,0.0349158100593827,0.0659137880110199,0.529719366963788,0.596306518088251,0.9962736297742,MER68B,Not significant,right_only
MER68,,,,,,,,,,,,,,,,,MER68:ERVL:LTR,3116.60799170092,-0.0160617772326897,0.0442411789552455,-0.363050389071635,0.716567243500297,0.9962736297742,MER68,Not significant,right_only
MER67D,MER67D:TE,2.822878,0.61625236,0.0047594681392274,0.0296345172828842,MER67D:ERV1:LTR,1458.88509684041,0.0361831464159377,0.70291763434518,0.995278921297154,True,0.0948730341284286,0.381384939865599,ERV1,LTR,Not Significant,MER67D:ERV1:LTR,1458.83079087404,0.0361310426873968,0.0949913643937726,0.380361340401649,0.70367720778794,0.9962736297742,MER67D,Not significant,both
MER67C,,,,,,,,,,,,,,,,,MER67C:ERV1:LTR,1838.44768381679,0.0411273032132983,0.0695631993206276,0.591222134906939,0.55437159353571,0.9962736297742,MER67C,Not significant,right_only
MER67B,,,,,,,,,,,,,,,,,MER67B:ERV1:LTR,724.022397859378,0.0192841519341546,0.0965374783242632,0.199758189968256,0.841669701785528,0.9962736297742,MER67B,Not significant,right_only
MER67A,,,,,,,,,,,,,,,,,MER67A:ERV1:LTR,398.514708350246,0.0601584522735481,0.110385290157213,0.544986131647334,0.585763055855445,0.9962736297742,MER67A,Not significant,right_only
MER66D,,,,,,,,,,,,,,,,,MER66D:ERV1:LTR,163.51627510088,-0.0997619241403511,0.14573965479458,-0.684521479627255,0.49364593056912,0.9962736297742,MER66D,Not significant,right_only
MER68-int,,,,,,,,,,,,,,,,,MER68-int:ERVL:LTR,268.617781836204,0.111049232059352,0.0731101058775288,1.51893135328483,0.128779776042291,0.9962736297742,MER68-int,Not significant,right_only
MER61-int,,,,,,,,,,,,,,,,,MER61-int:ERV1:LTR,2038.61304374493,-0.0600876049185334,0.0571605230404897,-1.05120810171681,0.293163023011199,0.9962736297742,MER61-int,Not significant,right_only
MER6,MER6:TE,5.2029676,0.31573194,1.961310870803323e-07,2.180806445504768e-06,MER6:TcMar-Tigger:DNA,986.705397611088,-0.0249095756885087,0.623788410663811,0.995278921297154,True,0.0507852602192,-0.49048829485157,TcMar-Tigger,DNA,Not Significant,MER6:TcMar-Tigger:DNA,986.662933532818,-0.0250050015547873,0.0505200435752332,-0.494952097924272,0.620633934235859,0.9962736297742,MER6,Not significant,both
MER5C1,,,,,,,,,,,,,,,,,MER5C1:hAT-Charlie:DNA,340.019726144695,-0.0495910495026354,0.0675243906462268,-0.734416838538424,0.462694727332868,0.9962736297742,MER5C1,Not significant,right_only
MER57-int,MER57-int:TE,-11.781496,-0.87008256,4.86221394671009e-32,1.5382509491407556e-30,MER57-int:ERV1:LTR,1242.35860233335,-0.0500181011579506,0.527541977359253,0.995278921297154,True,0.0791722974938708,-0.63176265867266,ERV1,LTR,Not Significant,MER57-int:ERV1:LTR,1242.29426050387,-0.0501304958607054,0.0791017385521743,-0.633747080383576,0.526245894243117,0.9962736297742,MER57-int,Not significant,both
MER54B,,,,,,,,,,,,,,,,,MER54B:ERVL:LTR,442.723457399094,-0.0417513237830853,0.122949982081331,-0.339579746790584,0.734173032431585,0.9962736297742,MER54B,Not significant,right_only
MER54A,,,,,,,,,,,,,,,,,MER54A:ERVL:LTR,871.731203386275,0.0183758708041505,0.0867567083798973,0.211809220834943,0.832255874548039,0.9962736297742,MER54A,Not significant,right_only
MER53,MER53:TE,2.8904507,0.12101509,0.0038468985947945,0.0244591786051511,MER53:hAT:DNA,1789.19830586576,0.0118063079088039,0.768861194846784,0.995278921297154,True,0.0401759814844609,0.293864828501335,hAT,DNA,Not Significant,MER53:hAT:DNA,1789.14295346955,0.0117399293515277,0.0400581031413011,0.293072522932907,0.769466718622071,0.9962736297742,MER53,Not significant,both
MER52D,,,,,,,,,,,,,,,,,MER52D:ERV1:LTR,363.422752423065,-0.0756676598153096,0.0853404711221728,-0.886656223247049,0.375264013968169,0.9962736297742,MER52D,Not significant,right_only
MER52C,,,,,,,,,,,,,,,,,MER52C:ERV1:LTR,182.325057646203,-0.0485538852799704,0.113058417509184,-0.429458383990086,0.66758967327187,0.9962736297742,MER52C,Not significant,right_only
MER57A-int,MER57A-int:TE,5.5884366,0.21008503,2.2912299990133764e-08,2.76225100763526e-07,MER57A-int:ERV1:LTR,1408.19051480027,-0.0758566733012472,0.183769897616191,0.995278921297154,True,0.0570678454115849,-1.32923667880141,ERV1,LTR,Not Significant,MER57A-int:ERV1:LTR,1408.13432442715,-0.0759007357246191,0.0569320681865207,-1.33318072120537,0.182472504398054,0.9962736297742,MER57A-int,Not significant,both
MER52A,,,,,,,,,,,,,,,,,MER52A:ERV1:LTR,1643.50393425902,-0.0444048187974689,0.0645208690315453,-0.688224127541721,0.491311652305025,0.9962736297742,MER52A,Not significant,right_only
MER51E,,,,,,,,,,,,,,,,,MER51E:ERV1:LTR,91.3524845773058,0.0955900182916049,0.151187106556411,0.632263031344794,0.527215016100858,0.9962736297742,MER51E,Not significant,right_only
MER51D,,,,,,,,,,,,,,,,,MER51D:ERV1:LTR,27.6433192788622,-0.178695364431242,0.22489597716873,-0.794568967755145,0.426864275705929,0.9962736297742,MER51D,Not significant,right_only
MER51C,,,,,,,,,,,,,,,,,MER51C:ERV1:LTR,187.921980052174,0.188356792389169,0.0850518329794716,2.21461179366507,0.0267867218230368,0.9962736297742,MER51C,Not significant,right_only
MER51B,,,,,,,,,,,,,,,,,MER51B:ERV1:LTR,423.823769525429,-0.0474906806794003,0.0728408428471739,-0.651978736421814,0.51441488971752,0.9962736297742,MER51B,Not significant,right_only
MER51A,,,,,,,,,,,,,,,,,MER51A:ERV1:LTR,1136.40957626936,0.0110311219272205,0.0544959673381665,0.202420884810954,0.839587702615447,0.9962736297742,MER51A,Not significant,right_only
MER51-int,MER51-int:TE,3.1452584,0.28677487,0.0016594023264213,0.0113117117080046,MER51-int:ERV1:LTR,436.268773570693,-0.112322866738361,0.20536312153283,0.995278921297154,True,0.0886932911439048,-1.26641897363035,ERV1,LTR,Not Significant,MER51-int:ERV1:LTR,436.240522644398,-0.1124291858438,0.0885124433992263,-1.27020768522568,0.204010660833656,0.9962736297742,MER51-int,Not significant,both
MER52-int,,,,,,,,,,,,,,,,,MER52-int:ERV1:LTR,279.616297944186,-0.064877441443586,0.129208994538442,-0.50211242394804,0.615588441342483,0.9962736297742,MER52-int,Not significant,right_only
MER57A1,,,,,,,,,,,,,,,,,MER57A1:ERV1:LTR,1214.97658098303,-0.0882385089406095,0.0767858309231912,-1.14915092901546,0.250493751042177,0.9962736297742,MER57A1,Not significant,right_only
MER57B1,,,,,,,,,,,,,,,,,MER57B1:ERV1:LTR,844.338456081339,0.0208265339692199,0.0883829290297715,0.235639780191088,0.813712202392907,0.9962736297742,MER57B1,Not significant,right_only
MER57B2,,,,,,,,,,,,,,,,,MER57B2:ERV1:LTR,1207.06547608929,-0.0950982164307985,0.0709033098908727,-1.34123804061001,0.179843179195788,0.9962736297742,MER57B2,Not significant,right_only
MER5C,,,,,,,,,,,,,,,,,MER5C:hAT-Charlie:DNA,1056.87132259495,-0.0838911942942965,0.0587357963740084,-1.4282805286253,0.153211129985631,0.9962736297742,MER5C,Not significant,right_only
MER5B,MER5B:TE,3.1458979,0.06752043,0.0016557784117537,0.0112895690030076,MER5B:hAT-Charlie:DNA,13050.4615246634,-0.0200440819405983,0.657384342524017,0.995278921297154,True,0.0451924374575148,-0.44352734811973,hAT-Charlie,DNA,Not Significant,MER5B:hAT-Charlie:DNA,13050.0159957954,-0.0200810116207574,0.0451152018071002,-0.445105215457488,0.656243719946467,0.9962736297742,MER5B,Not significant,both
MER5A1,,,,,,,,,,,,,,,,,MER5A1:hAT-Charlie:DNA,8708.02094775154,0.0046405300923354,0.0435543766960306,0.10654566646016,0.915149424985783,0.9962736297742,MER5A1,Not significant,right_only
MER5A,,,,,,,,,,,,,,,,,MER5A:hAT-Charlie:DNA,20233.0368463871,-0.0171894279244673,0.0583220005494836,-0.294733166944141,0.768197724461718,0.9962736297742,MER5A,Not significant,right_only
MER58D,,,,,,,,,,,,,,,,,MER58D:hAT-Charlie:DNA,798.573095511088,0.0334008224449621,0.0675272684973233,0.494627180814904,0.620863312018954,0.9962736297742,MER58D,Not significant,right_only
MER58C,,,,,,,,,,,,,,,,,MER58C:hAT-Charlie:DNA,1521.36243043818,-0.0715799863602783,0.0564619531783902,-1.26775611417698,0.204885058800543,0.9962736297742,MER58C,Not significant,right_only
MER58B,MER58B:TE,4.0114694,0.09101533,6.0342027403669536e-05,0.0005140531841318,MER58B:hAT-Charlie:DNA,4974.2633334494,-0.0194400270865159,0.623446376342954,0.995278921297154,True,0.0395949953916194,-0.490971823439852,hAT-Charlie,DNA,Not Significant,MER58B:hAT-Charlie:DNA,4974.06186170104,-0.0194726035676408,0.0393817165927094,-0.494457968123351,0.620982783647005,0.9962736297742,MER58B,Not significant,both
MER58A,,,,,,,,,,,,,,,,,MER58A:hAT-Charlie:DNA,11065.5548818536,-0.0177175760542696,0.0376760246413863,-0.470261292769386,0.63816834824063,0.9962736297742,MER58A,Not significant,right_only
MER57F,,,,,,,,,,,,,,,,,MER57F:ERV1:LTR,260.240942654368,-0.0220102185112513,0.079896973436247,-0.275482506590993,0.782945563797427,0.9962736297742,MER57F,Not significant,right_only
MER57E3,,,,,,,,,,,,,,,,,MER57E3:ERV1:LTR,400.918304605133,-0.0296439437183424,0.119749326024113,-0.247549983808453,0.804482613401626,0.9962736297742,MER57E3,Not significant,right_only
MER57E2,,,,,,,,,,,,,,,,,MER57E2:ERV1:LTR,65.4771415205606,0.0169692863019915,0.210981792112893,0.0804300984082621,0.935895189373182,0.9962736297742,MER57E2,Not significant,right_only
MER57E1,,,,,,,,,,,,,,,,,MER57E1:ERV1:LTR,542.581448915716,-0.0092833646509581,0.0730653639696805,-0.127055613584713,0.898896381893344,0.9962736297742,MER57E1,Not significant,right_only
MER57D,,,,,,,,,,,,,,,,,MER57D:ERV1:LTR,392.730896656303,-0.0600376164445503,0.0672830199591219,-0.892314531675695,0.372224367443793,0.9962736297742,MER57D,Not significant,right_only
MER57C2,,,,,,,,,,,,,,,,,MER57C2:ERV1:LTR,481.80293689566,0.0352348997631322,0.0944231102607953,0.373159702808072,0.709029586020129,0.9962736297742,MER57C2,Not significant,right_only
MER57C1,,,,,,,,,,,,,,,,,MER57C1:ERV1:LTR,304.629303600587,-0.0333653300658018,0.105383995073751,-0.316607185393301,0.751541682921095,0.9962736297742,MER57C1,Not significant,right_only
MER70B,,,,,,,,,,,,,,,,,MER70B:ERVL:LTR,203.781355101808,0.119882676591684,0.0785186696382118,1.52680473502752,0.126809573826309,0.9962736297742,MER70B,Not significant,right_only
MER50C,,,,,,,,,,,,,,,,,MER50C:ERV1:LTR,54.3171335887011,-0.0267288925109225,0.191935660185221,-0.139259648181733,0.889244975200117,0.9962736297742,MER50C,Not significant,right_only
MER70C,,,,,,,,,,,,,,,,,MER70C:ERVL:LTR,279.406595842563,0.176110230219192,0.131397821883426,1.34028272078539,0.180153446953049,0.9962736297742,MER70C,Not significant,right_only
MER72B,,,,,,,,,,,,,,,,,MER72B:ERV1:LTR,224.278099767699,0.158866044410501,0.123304597756941,1.28840324935538,0.197605628233282,0.9962736297742,MER72B,Not significant,right_only
MER9a2,,,,,,,,,,,,,,,,,MER9a2:ERVK:LTR,393.909964783503,-0.0360778585382388,0.0806080111170279,-0.447571625180783,0.654462385109729,0.9962736297742,MER9a2,Not significant,right_only
MER9a1,,,,,,,,,,,,,,,,,MER9a1:ERVK:LTR,341.832059423202,0.0159649794550473,0.106141876813937,0.15041169361489,0.880439816054144,0.9962736297742,MER9a1,Not significant,right_only
MER9B,,,,,,,,,,,,,,,,,MER9B:ERVK:LTR,28.7911402602987,-0.126041427085622,0.240783504803531,-0.523463711471707,0.600651597684924,0.9962736297742,MER9B,Not significant,right_only
MER99,,,,,,,,,,,,,,,,,MER99:hAT:DNA,509.043688887564,-0.0102795745131822,0.0990044992570065,-0.103829367254284,0.917304760719377,0.9962736297742,MER99,Not significant,right_only
MER97d,,,,,,,,,,,,,,,,,MER97d:hAT-Tip100:DNA,210.245874167651,-0.174760825908883,0.100985313378842,-1.73055685090835,0.0835308332337765,0.9962736297742,MER97d,Not significant,right_only
MER97c,,,,,,,,,,,,,,,,,MER97c:hAT-Tip100:DNA,103.71806479277,-0.0272244020523849,0.135527440061276,-0.200877416706727,0.840794426630466,0.9962736297742,MER97c,Not significant,right_only
MER9a3,,,,,,,,,,,,,,,,,MER9a3:ERVK:LTR,402.906183193923,0.054026051789513,0.0954642791854202,0.565929500023546,0.571441706747849,0.9962736297742,MER9a3,Not significant,right_only
MER97b,,,,,,,,,,,,,,,,,MER97b:hAT-Tip100:DNA,72.4492314554522,0.0471188531877863,0.163414045821965,0.288340288931594,0.773086269971811,0.9962736297742,MER97b,Not significant,right_only
MER96B,,,,,,,,,,,,,,,,,MER96B:hAT:DNA,17.211724724473,0.182592127715894,0.293541209388273,0.622032348018215,0.533920597761579,0.9962736297742,MER96B,Not significant,right_only
MER96B,,,,,,,,,,,,,,,,,MER96B:hAT-Tip100:DNA,877.082448534158,-0.0731495686824728,0.0680541235832264,-1.07487342178487,0.282431402843047,0.9962736297742,MER96B,Not significant,right_only
MER96,,,,,,,,,,,,,,,,,MER96:hAT:DNA,9.0228280901665,0.600830472728259,0.429759076054914,1.39806348767254,0.162094003067123,0.9962736297742,MER96,Not significant,right_only
MER96,,,,,,,,,,,,,,,,,MER96:hAT-Tip100:DNA,301.281101616174,0.121072798938647,0.0761379074825642,1.59017765186643,0.111794766468887,0.9962736297742,MER96,Not significant,right_only
MER95,,,,,,,,,,,,,,,,,MER95:ERV1:LTR,156.050093817056,-0.0104428304645537,0.0968498038487599,-0.107825003764191,0.914134508382822,0.9962736297742,MER95,Not significant,right_only
MER94B,,,,,,,,,,,,,,,,,MER94B:hAT-Blackjack:DNA,430.692224839881,-0.120414762219039,0.08354008634872,-1.44140097864388,0.149471433963889,0.9962736297742,MER94B,Not significant,right_only
MER97a,,,,,,,,,,,,,,,,,MER97a:hAT-Tip100:DNA,81.868007789491,0.0940354105365723,0.1468162505785,0.64049728940798,0.521849350799441,0.9962736297742,MER97a,Not significant,right_only
MER94,,,,,,,,,,,,,,,,,MER94:hAT-Blackjack:DNA,2815.07920734701,0.036879767637474,0.04032783340379,0.914499107061082,0.360454646860625,0.9962736297742,MER94,Not significant,right_only
MERX,,,,,,,,,,,,,,,,,MERX:TcMar-Tigger:DNA,412.577870541677,0.0164809453890722,0.0736894689337592,0.223654012269884,0.823026532334094,0.9962736297742,MERX,Not significant,right_only
MIRb,MIRb:TE,6.04534,0.04816695,1.490953678271044e-09,1.9749058087455377e-08,MIRb:MIR:SINE,142959.790065078,0.0063043914572829,0.837373718631217,0.995278921297154,True,0.0307150794414584,0.205253952518625,MIR,SINE,Not Significant,MIRb:MIR:SINE,142954.409273897,0.0062559148975631,0.0305282565290661,0.204922115077447,0.837632976527845,0.9962736297742,MIRb,Not significant,both
MLT1D,MLT1D:TE,6.031826,0.11301023,1.6211724379415214e-09,2.1426709596452256e-08,MLT1D:ERVL-MaLR:LTR,10701.4419278673,0.0216039449742232,0.628376597443779,0.995278921297154,True,0.0446350451374998,0.484013064345998,ERVL-MaLR,LTR,Not Significant,MLT1D:ERVL-MaLR:LTR,10700.9900665865,0.0215355460463694,0.0444607244727338,0.484372360139485,0.628121630644323,0.9962736297742,MLT1D,Not significant,both
MLT1C-int,,,,,,,,,,,,,,,,,MLT1C-int:ERVL-MaLR:LTR,384.051227740633,0.0173259693918713,0.0842275568888927,0.205704285293786,0.837021910968004,0.9962736297742,MLT1C-int,Not significant,right_only
MLT1C,MLT1C:TE,3.6905222,0.08147714,0.0002237942356546,0.0017593868042375,MLT1C:ERVL-MaLR:LTR,11568.0279621592,0.0257317741350328,0.550270061482483,0.995278921297154,True,0.0430761487977374,0.597355493775813,ERVL-MaLR,LTR,Not Significant,MLT1C:ERVL-MaLR:LTR,11567.5610534146,0.0256680693606307,0.0429154963446317,0.598107246727475,0.54976837520204,0.9962736297742,MLT1C,Not significant,both
MLT1B-int,MLT1B-int:TE,3.9626658,0.1366018,7.411750753411488e-05,0.0006241528968724,MLT1B-int:ERVL-MaLR:LTR,335.304022095013,-0.0849751288651463,0.396773600275074,0.995278921297154,True,0.100277767358475,-0.847397495013782,ERVL-MaLR,LTR,Not Significant,MLT1B-int:ERVL-MaLR:LTR,335.293771628527,-0.08503979452209,0.100280248365082,-0.848021379170233,0.396426064467753,0.9962736297742,MLT1B-int,Not significant,both
MLT1B,MLT1B:TE,3.8710408,0.08951314,0.0001083716651566,0.0008921145977222,MLT1B:ERVL-MaLR:LTR,11155.5779626437,0.0325900449037695,0.438725152442015,0.995278921297154,True,0.0420870899658466,0.774347785276106,ERVL-MaLR,LTR,Not Significant,MLT1B:ERVL-MaLR:LTR,11155.1340705441,0.0325285245091649,0.0419257514458519,0.775860262186982,0.437831497785982,0.9962736297742,MLT1B,Not significant,both
MLT1A1-int,,,,,,,,,,,,,,,,,MLT1A1-int:ERVL-MaLR:LTR,437.7784687301,0.141344871683026,0.100685182568192,1.40382991893863,0.160369502401391,0.9962736297742,MLT1A1-int,Not significant,right_only
MIR1_Amn,MIR1_Amn:TE,4.0952005,0.09411994,4.218031734032323e-05,0.000366713751132,MIR1_Amn:MIR:SINE,7667.03403793633,0.0368872360803258,0.6230551428679,0.995278921297154,True,0.0750465036595641,0.491525044892945,MIR,SINE,Not Significant,MIR1_Amn:MIR:SINE,7666.7651815392,0.0368470746426418,0.075107839968475,0.490588927309155,0.623717219448653,0.9962736297742,MIR1_Amn,Not significant,both
MLT1A1,MLT1A1:TE,4.9351335,0.124196716,8.00960606581244e-07,8.422977967389533e-06,MLT1A1:ERVL-MaLR:LTR,5166.11973646781,0.0312891662657126,0.441280500584219,0.995278921297154,True,0.0406335556982356,0.770032691652217,ERVL-MaLR,LTR,Not Significant,MLT1A1:ERVL-MaLR:LTR,5165.92462668313,0.0312446079073557,0.0404705261572535,0.772033647053432,0.440094499431291,0.9962736297742,MLT1A1,Not significant,both
MLT1A0,MLT1A0:TE,5.587014,0.12010434,2.3100689503322386e-08,2.783846122784099e-07,MLT1A0:ERVL-MaLR:LTR,14628.5747539613,0.0164758510017606,0.611869125336561,0.995278921297154,True,0.0324706676647116,0.507407213546957,ERVL-MaLR,LTR,Not Significant,MLT1A0:ERVL-MaLR:LTR,14628.0349176428,0.0164344195211318,0.0322958264154656,0.50887131079147,0.610842430584955,0.9962736297742,MLT1A0,Not significant,both
MLT1A-int,MLT1A-int:TE,6.578456,0.5534395,4.7535864816047526e-11,6.98284661312956e-10,MLT1A-int:ERVL-MaLR:LTR,307.540660694377,0.0897135027997141,0.451028524237469,0.995278921297154,True,0.119030559670022,0.753701428006547,ERVL-MaLR,LTR,Not Significant,MLT1A-int:ERVL-MaLR:LTR,307.526625085937,0.0896304842837034,0.119085117436474,0.75265899058727,0.451654859215292,0.9962736297742,MLT1A-int,Not significant,both
MLT1A,MLT1A:TE,5.6575193,0.13485616,1.535765110181822e-08,1.8793737942391968e-07,MLT1A:ERVL-MaLR:LTR,6212.18352480369,0.0108899088647158,0.716236278106339,0.995278921297154,True,0.0299590206858796,0.363493485948574,ERVL-MaLR,LTR,Not Significant,MLT1A:ERVL-MaLR:LTR,6211.93802837518,0.0108187237595744,0.0296920635760011,0.364364158519409,0.715586095985835,0.9962736297742,MLT1A,Not significant,both
MLT1-int,MLT1-int:TE,7.6893497,0.83835596,1.4788504297315854e-14,2.5856224354614794e-13,MLT1-int:ERVL-MaLR:LTR,85.9257838435681,0.0382073978532734,0.777987828012582,0.995278921297154,True,0.135515000556262,0.28194220341984,ERVL-MaLR,LTR,Not Significant,MLT1-int:ERVL-MaLR:LTR,85.9222755273065,0.0380865404552207,0.135170474404833,0.281766714387288,0.778122395283098,0.9962736297742,MLT1-int,Not significant,both
