TE_name,scTE_mean_expression,soloTE_mean_expression,log2_scTE,log2_soloTE,fold_difference,pearson_r,spearman_r
HERVK14C-int,0.031245855987269592,0.031675017895490334,0.04438832196826908,0.044988587129671076,1.0137349991954803,0.9826695654705839,0.9931688856710245
MER112,2.2900477390266545,2.4282390837508947,1.71810851780773,1.7774677258197369,1.0603443073535845,0.9826695654705839,0.9931688856710245
MER51C,0.08485280466781595,0.0895425261924904,0.11749930775570609,0.123722507724742,1.0552689028666409,0.9826695654705839,0.9931688856710245
MER107,0.21107943243601646,0.22061885859308908,0.2762934918062717,0.28761278537200846,1.0451935365869667,0.9826695654705839,0.9931688856710245
MER51D,0.022327940591433497,0.02676189236675994,0.03185805574111349,0.0381016572845251,1.198583099830053,0.9826695654705839,0.9931688856710245
MER88,0.03116297573266145,0.03385501399101972,0.04427236927204681,0.04803387882274415,1.0863857859022816,0.9826695654705839,0.9931688856710245
MER117,1.057601776952659,1.1038101125789028,1.040963793695917,1.0730044945524786,1.0436916205407842,0.9826695654705839,0.9931688856710245
LTR40b,0.33654356186182205,0.3486529576364938,0.4185068599961322,0.4315191542835172,1.0359816589688482,0.9826695654705839,0.9931688856710245
MSTC-int,0.10118021482561994,0.10826771653543307,0.13905059402414677,0.14830642530806376,1.0700482956576376,0.9826695654705839,0.9931688856710245
MER61D,0.08525062988993502,0.08445044576039565,0.11802825994515606,0.1169641301986405,0.9906137440904091,0.9826695654705839,0.9931688856710245
LTR81AB,0.0371966582681342,0.03891455716795731,0.052689463108938524,0.05507700841069545,1.0461842239381052,0.9826695654705839,0.9931688856710245
MamTip2,1.4218604959554435,1.4996583588208499,1.276115765284225,1.3217309278010068,1.0547155385364702,0.9826695654705839,0.9931688856710245
LTR64,0.1521018432568625,0.16537059933624,0.20426825347062755,0.22078881908699943,1.0872359971880567,0.9826695654705839,0.9931688856710245
MLT1F2,1.775212173451797,1.9700657252554175,1.4725980741240827,1.570494857103779,1.1097635283301166,0.9826695654705839,0.9931688856710245
PRIMAX-int,0.016526322768863545,0.01709832758508492,0.02364757399859243,0.02445915791929898,1.0346117355179514,0.9826695654705839,0.9931688856710245
MER89,0.33415661052910756,0.3476605713542006,0.4159280278209033,0.43045717776085785,1.0404120711533118,0.9826695654705839,0.9931688856710245
MER103C,2.9291373823100386,3.090404763454155,1.9742126125184913,2.0322436112195605,1.0550562708367843,0.9826695654705839,0.9931688856710245
MSTA-int,1.211543561861822,1.3025802043339625,1.1450536599906063,1.2032514096845188,1.0751410392744996,0.9826695654705839,0.9931688856710245
MSTB1-int,0.0823829730804933,0.09456953211427084,0.1142110496326072,0.13036360408503597,1.1479256994898441,0.9826695654705839,0.9931688856710245
L1ME5,1.7040180347434026,1.4281740092405804,1.4351047738642182,1.279871812562734,0.8381214165798592,0.9826695654705839,0.9931688856710245
MER74A,0.7765216814746055,0.8224767358625626,0.8290552960797827,0.8659003984918948,1.0591806454067978,0.9826695654705839,0.9931688856710245
MER68C,0.026770322238429917,0.02014056094227891,0.03811350198213177,0.028767948866541188,0.7523465981343934,0.9826695654705839,0.9931688856710245
AluSq10,1.8806027052115104,2.389454675603566,1.5263706966846362,1.7610531789405328,1.2705791972195253,0.9826695654705839,0.9931688856710245
LTR32,0.30581156345312294,0.3098360122340079,0.3849467222396047,0.38938620172761834,1.0131598970101923,0.9826695654705839,0.9931688856710245
MER21B,1.40248309242806,1.4588241035986205,1.2645262780100466,1.2979685328426869,1.0401723281875737,0.9826695654705839,0.9931688856710245
MER45A,0.6951332714494098,0.7438179215201406,0.7613987025656413,0.8022494108525928,1.0700364260542667,0.9826695654705839,0.9931688856710245
MER5C,0.7856385094815012,0.8452690831001497,0.836440046100808,0.8838312100787088,1.07590077725494,0.9826695654705839,0.9931688856710245
MER52-int,0.105639172523538,0.10743801652892562,0.14488063607424403,0.14722595318317802,1.0170281900237719,0.9826695654705839,0.9931688856710245
LTR88c,0.10709786500464129,0.11204203813366305,0.14678275880986721,0.15321132678499783,1.046165000807355,0.9826695654705839,0.9931688856710245
MLT1K-int,0.04450669672457234,0.047374243508817596,0.06282174209421176,0.06677703231828004,1.064429555299239,0.9826695654705839,0.9931688856710245
MLT2D,1.3247745657074659,1.3455131125138284,1.2170908243048162,1.2299035661955635,1.0156543967869145,0.9826695654705839,0.9931688856710245
MER9B,0.0058347699244132075,0.004896856901151819,0.008393330800661727,0.0070474300871809815,0.8392544831523651,0.9826695654705839,0.9931688856710245
L1MDb,0.43139172523537994,0.47331945077113297,0.5174185446831809,0.559070274960256,1.097191770201797,0.9826695654705839,0.9931688856710245
HERV9N-int,0.10741280997215223,0.12692783236806143,0.1471931154190981,0.1723951293358733,1.1816824481437587,0.9826695654705839,0.9931688856710245
LTR1C3,0.004906511072802016,0.005059543176937594,0.007061290174974197,0.007280974141967667,1.0311895762071983,0.9826695654705839,0.9931688856710245
LTR53,0.13802877602439995,0.14856510704756948,0.18653703787544604,0.1998326389991447,1.0763343066497493,0.9826695654705839,0.9931688856710245
MLT1E2-int,0.04291539583609601,0.04291663955228737,0.06062212721682567,0.06062384768439077,1.0000289783226797,0.9826695654705839,0.9931688856710245
MLT2C2,0.37393913274101576,0.37972603631157675,0.45831809233812953,0.46438182838542946,1.0154755225177818,0.9826695654705839,0.9931688856710245
L1PA8A,3.5776422225169076,3.8935706383809463,2.194604709732583,2.290887524986472,1.0883063191078255,0.9826695654705839,0.9931688856710245
Tigger5,0.19674114838880785,0.20801067221969155,0.25911113530539376,0.2726332002676379,1.0572809695249126,0.9826695654705839,0.9931688856710245
