TE_name,scTE_logFC,scTE_pval,scTE_padj,soloTE_logFC,soloTE_pval,soloTE_padj,TE_family,TE_class,_merge,scTE_significant,soloTE_significant,scTE_direction,soloTE_direction,agreement,logFC_pearson_r,logFC_spearman_r
L1M5,0.12908994,6.884802280037586e-300,3.9212704331512256e-296,0.14464769,0.0,0.0,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1M6,0.13720647,4.4324245635911895e-36,1.4692901128759345e-33,0.1544657,2.2087011511905e-50,3.800368329984923e-49,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1M6B,0.032294884,0.0169191119477649,0.3095792297428215,0.07421636,0.0024662306491044,0.0061884120917344,LINE-1,LINE,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1M7,0.09260982,9.801985469129716e-16,1.2136446474830944e-13,0.08836836,1.6692353452068413e-17,1.3649302118796122e-16,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1M8,0.23915575,7.791487120536677e-45,3.27613731267613e-42,0.24507825,7.177878145421717e-48,1.1613164044234538e-46,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA1,-0.029587075,0.9804358324433318,1.0,-0.011238758,0.0294893263168927,0.0556906441245849,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1MA10,0.0899567,4.8457000829320716e-11,4.187420081321065e-09,0.097445294,1.918608402538657e-13,1.333186864328144e-12,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA2,0.0669649,3.2644815690983055e-30,8.59340482292344e-28,0.07222981,2.450455574689743e-42,3.589586274275244e-41,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA3,0.12485804,7.439816337134388e-93,9.710665277870973e-90,0.12856139,2.860788546561211e-132,2.2150677031945377e-130,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA4,0.08042734,1.198762010503436e-35,3.891380244562216e-33,0.087885715,3.4400367624541964e-62,8.474999660228066e-61,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA4A,0.05546251,3.4740877117938398e-15,4.1856744082999205e-13,0.06264669,2.037527411523738e-30,2.3749244237545505e-29,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA5,0.07356304,7.272889925369846e-15,8.606926126224573e-13,0.08311467,6.431822803354479e-23,6.281167494447077e-22,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA5A,0.046238296,0.0001083505715259,0.0039229477276512,0.050223734,1.887046740205884e-06,8.021798691698737e-06,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA6,0.1280723,4.935877296679785e-39,1.7875008584640763e-36,0.13262206,1.6712884468688028e-50,2.922059155493197e-49,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA7,0.13113688,5.269756453897703e-56,2.921730191089779e-53,0.13178305,2.0046831306890657e-70,5.57199106068448e-69,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA8,0.11392017,3.1439525350024813e-51,1.5757741621635235e-48,0.11216899,1.8760089527611905e-59,4.326795116581128e-58,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MA9,0.0939822,1.7040738859149994e-60,1.0466856179064768e-57,0.06823541,1.5593880451826355e-68,4.225941602444942e-67,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MB1,0.16221379,1.234596705250221e-59,7.36654458863158e-57,0.17569582,1.1196739541300991e-79,3.677959291748568e-78,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MB2,0.1000644,1.3926210627695574e-40,5.320067207535095e-38,0.08714911,2.3326269704785584e-43,3.5118994944427186e-42,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MB3,0.10593913,3.571337804736764e-90,4.387213427540452e-87,0.106325485,8.331669143882791e-120,5.64470584498059e-118,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MB4,0.099232465,1.327635437959717e-44,5.508456147259219e-42,0.1125398,6.5582386055315125e-68,1.7339343044868682e-66,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MB5,0.05225443,1.0870387007889441e-12,1.0896649862900501e-10,0.059688933,3.2999858583670152e-24,3.343163243429761e-23,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MB7,0.14824252,1.7924242700855123e-228,7.018573309070465e-225,0.11876952,5.579356206139784e-201,6.720024586061695e-199,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MB8,0.10658389,1.0196323410995958e-69,7.886541457065528e-67,0.11634863,7.633870637276785e-102,3.59787642209045e-100,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC,0.114337504,2.075872035369876e-33,6.222749229088904e-31,0.12863688,2.161306821198508e-49,3.5775325203292463e-48,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC1,0.14624105,1.9095358695578168e-126,3.2333603179369405e-123,0.15252157,1.4115230101495555e-177,1.2750757858350982e-175,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC2,0.17492396,9.840290969718586e-68,7.16865197143999e-65,0.19348003,3.466073906713401e-92,1.5028896459509306e-90,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC3,0.12073949,5.675433625041293e-58,3.2621246976372663e-55,0.12580937,3.0308536760480623e-88,1.1733733517271784e-86,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC4,0.10029308,1.727887722725672e-111,2.6403388711338068e-108,0.107034214,2.7421841065227453e-167,2.286559670362043e-165,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC4a,0.10259396,2.507412414889491e-50,1.227280431290949e-47,0.1165507,2.1494750996470078e-82,7.516229058120504e-81,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC5,0.07383999,2.3271549301902696e-24,4.764659592527797e-22,0.09114302,3.5854525947564244e-55,7.474289639838394e-54,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MC5a,0.10725855,1.0606798977581121e-75,9.358555539679452e-73,0.11603603,5.74307913996867e-110,3.4586098820700215e-108,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MCa,0.07204598,5.947329823756975e-30,1.5396948792900754e-27,0.06601007,2.9425195138032512e-36,3.708943201119447e-35,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MCb,0.15683228,6.567106821567909e-15,7.807131109640437e-13,0.1637891,2.503114501891336e-15,1.884288972257089e-14,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MCc,0.11068834,4.038971582616426e-10,3.1317525819616556e-08,0.11315054,3.0188568608977105e-10,1.7882190367284801e-09,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MD,0.119090304,5.547986627299115e-47,2.413797987409145e-44,0.12145297,1.8947856447273994e-60,4.564328086410002e-59,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MD1,0.09140846,1.064640030403341e-36,3.5479129013191333e-34,0.09236471,2.429568109773641e-53,4.788457874535686e-52,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MD2,0.12467375,5.731319273424256e-82,5.79149812579521e-79,0.13669033,3.5066183327635663e-120,2.5341161818104706e-118,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MD3,0.093038954,1.4705076666384438e-17,2.0986053718124174e-15,0.11191879,2.3274032324382827e-31,2.7724231911682397e-30,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MDa,0.12781024,2.4266479384788317e-71,1.9491271794056053e-68,0.14600132,3.6961687206098644e-104,1.821203133245951e-102,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MDb,0.0417731,0.0067696261500709,0.1441127583853536,0.055990025,0.0068827803423556,0.0154470680975434,LINE-1,LINE,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1ME1,0.12142742,5.020152973599447e-182,1.497702875947519e-178,0.13667618,2.2962618463745039e-302,8.29715947156654e-300,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME2,0.16309078,1.1726076018897211e-132,2.0406955240553587e-129,0.17056544,1.585240127707905e-183,1.5621820894866993e-181,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME2z,0.0978161,5.0962167429535145e-24,1.0200737225647944e-21,0.10518196,1.6648879543175787e-32,2.005265047200284e-31,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3,0.12179447,7.006696229072616e-48,3.204208214946193e-45,0.14696063,3.986464600659444e-78,1.2709787138573048e-76,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3A,0.07404932,3.968583713394119e-33,1.1783684276201654e-30,0.08286267,2.7719663336327156e-54,5.564465751218266e-53,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3B,0.1049541,7.526757085044723e-42,2.9845497350325115e-39,0.11366331,1.867146597688951e-59,4.326795116581128e-58,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3C,0.1441919,7.974800401303078e-26,1.7169389001444642e-23,0.13484152,3.123791062335908e-24,3.194518407143513e-23,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3Cz,0.1448981,2.0988518077386287e-79,1.9057270232845336e-76,0.14356036,5.701081658988738e-101,2.5749885493099136e-99,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3D,0.11800627,1.9545849016455848e-19,3.1318848765472515e-17,0.15304281,4.4759354380384255e-39,6.22040258312007e-38,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3E,0.1875185,1.424803943075184e-52,7.198821922387366e-50,0.190397,8.490204012911004e-52,1.586789853447505e-50,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3F,0.10277629,1.8747432822475588e-26,4.106802146017196e-24,0.12377358,6.242281684642649e-42,9.022177794870173e-41,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME3G,0.12245355,3.049421182429209e-69,2.301798632534607e-66,0.114819214,1.608038483761089e-84,6.0107369530931744e-83,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME4a,0.08494647,2.784813219288332e-63,1.8560780106556728e-60,0.097694464,1.4614107585114672e-118,9.318642718979003e-117,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME4b,0.07247592,3.6334114218893355e-30,9.48486912469953e-28,0.08069498,1.7813242982928944e-56,3.8619110786989944e-55,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME4c,0.10644911,3.2174502834980733e-34,9.929875749331907e-32,0.11209316,2.9537056673447608e-46,4.6403144107271324e-45,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1ME5,0.20895638,5.104392155406703e-31,1.4026108461771284e-28,0.14746416,4.468598776092043e-16,3.4848640814991178e-15,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEa,0.14888388,3.894594381298816e-06,0.0001815477921002,0.15873598,4.908640956481534e-06,1.941958684972986e-05,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEb,0.124273516,4.3783763165468315e-10,3.37819771684699e-08,0.13993049,1.1791776169017472e-11,7.563482465807657e-11,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEc,0.13470444,2.2471173741492186e-152,5.414775023377796e-149,0.14054012,7.776702510402629e-207,1.2042779316109215e-204,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEd,0.17809558,1.90740447158678e-264,8.535771253527383e-261,0.1743832,0.0,0.0,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEf,0.17173782,1.6520872218495805e-144,3.338868275358002e-141,0.17997038,8.568220956642477e-201,9.287951517000445e-199,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEg,0.15721896,1.047227969777592e-160,2.733744980605663e-157,0.15947205,4.168828927797748e-205,5.648763197165949e-203,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEg1,0.25905114,1.3015923685918271e-20,2.2280345214384307e-18,0.29433614,5.157416452086172e-22,4.991642351840545e-21,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEg2,0.2537611,1.1429189660566491e-14,1.3384115166806569e-12,0.25036272,6.656837288655994e-14,4.716347464642547e-13,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEh,0.19620477,1.2186339640840402e-27,2.756268465120188e-25,0.19649026,1.1402283618218903e-26,1.2237698457573557e-25,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEi,0.15263498,6.75956257407238e-48,3.1139217266780054e-45,0.16171387,2.9442280138495313e-59,6.64904826461019e-58,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1MEj,0.14390665,9.505671887863869e-19,1.4525362181623396e-16,0.14839768,1.8526299199284256e-20,1.701907485764757e-19,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1P,0.33462086,0.1180718608243643,1.0,0.3359748,0.0769294519042607,0.1290890493254158,LINE-1,LINE,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
L1P1,0.02488652,1.9370584752246857e-05,0.0008155823288393,-0.16843401,8.584083825931161e-37,1.1077555794415929e-35,LINE-1,LINE,both,True,True,Up,Down,Both_significant_opposite_direction,0.9937739085763165,0.9353183055874946
L1P2,-0.037922814,0.2353495381900157,1.0,-0.16592029,8.403665617494353e-19,7.406157340946242e-18,LINE-1,LINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1P3,-0.02455844,0.256523368582255,1.0,-0.087773405,9.644447766018716e-07,4.267176072801751e-06,LINE-1,LINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1P3b,-0.03660492,0.7136344011135345,1.0,-0.02264511,0.7096262652838231,0.810574153390584,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1P4,0.15625414,1.637393551567061e-28,3.85655426312887e-26,0.14991806,2.2443616623270783e-28,2.534258377044326e-27,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1P4a,0.032859225,0.076452866328682,1.0,0.023258368,0.2883567630434644,0.4002288490897766,LINE-1,LINE,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
L1P4b,-0.067497395,0.9275256460026778,1.0,-0.04152254,0.9055867859232032,0.9420883646264416,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1P4c,-0.12721188,0.9492354884324138,1.0,-0.04303775,0.9249347848704624,0.9557953353666172,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1P4d,0.36530912,2.7237860165524967e-09,1.963727476674689e-07,0.3596644,6.456938491390018e-09,3.552954987140497e-08,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1P4e,0.033598274,0.0650255890169497,0.8969436762441475,0.041562676,0.074769116262515,0.1268383756315591,LINE-1,LINE,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
L1P5,0.13396932,8.857705611440158e-05,0.0032624580497491,0.13863178,0.0001720713972062,0.0005567922226015,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA10,-0.074818276,2.0921348945512399e-10,1.6869284849231625e-08,-0.09078255,1.4529677035131549e-10,8.798977601163462e-10,LINE-1,LINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA11,-0.043528005,0.0006722411089853,0.0199226952313354,-0.043511014,0.191354091311088,0.2822147414710468,LINE-1,LINE,both,True,False,Down,Down,Only_scTE_significant,0.9937739085763165,0.9353183055874946
L1PA12,-0.024198014,0.7651518869571922,1.0,-0.014109968,0.548542018703096,0.6658673552902085,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1PA13,0.016387079,7.990464273427176e-08,4.832148428518205e-06,0.01173639,5.824599559702839e-13,3.946166201698674e-12,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA14,0.08483579,3.22867681510145e-13,3.440133182702737e-11,0.10093591,1.6984836134942316e-20,1.5736378094254249e-19,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA15,0.07741199,3.426455071537806e-28,8.010105846526683e-26,0.076983236,5.472704111349754e-37,7.147483441811003e-36,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA15-16,0.021061568,0.1185453157400703,1.0,0.017274631,0.2790741797831405,0.3913537010154261,LINE-1,LINE,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
L1PA16,0.055161595,1.2666088268909834e-27,2.854471568832626e-25,0.05905616,3.6383310131519385e-51,6.573251363761169e-50,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA17,-0.01614057,0.2205845673876341,1.0,-0.023513122,0.7015595151965874,0.8045717211059977,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1PA2,-0.050933722,7.21544481092245e-05,0.0027150440411357,-0.16174614,5.3185757261743145e-51,9.451370634709765e-50,LINE-1,LINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA3,-0.013889908,0.59316597394082,1.0,-0.1313569,4.580679286015988e-47,7.3021416853549e-46,LINE-1,LINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1PA4,-0.010437566,0.1847700597662253,1.0,-0.14663664,1.3931599194158357e-55,2.961147750287777e-54,LINE-1,LINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1PA5,-0.046587072,3.3863443969753425e-10,2.651176587318677e-08,-0.14337748,4.387749661420124e-63,1.1061210774370732e-61,LINE-1,LINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA6,-0.025518687,0.4907975876412497,1.0,-0.1292235,2.720071114170698e-30,3.136762859320252e-29,LINE-1,LINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1PA7,-0.047118098,1.916246357473835e-13,2.066346825165116e-11,-0.05787478,3.594525409366487e-11,2.2653869440426003e-10,LINE-1,LINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PA8,-0.024801081,0.1199865398459296,1.0,-0.067883246,3.698850588302423e-05,0.0001323285160963,LINE-1,LINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1PA8A,-0.017965985,0.3851023917184067,1.0,-0.052250054,0.7065758700512996,0.8079411847422033,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1PB,0.17204918,3.865377967689594e-20,6.440686038662786e-18,0.17211214,1.002395481393482e-19,9.131064721264996e-19,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PB1,0.008378768,1.1053007726928258e-05,0.0004832393489879,0.017720139,3.7391235737759926e-18,3.142023220134244e-17,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PB2,-0.025437895,0.4920674100287044,1.0,-0.028241105,0.9423387457879262,0.9700809120931738,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1PB3,0.19884793,4.6279841358596576e-69,3.451759929711231e-66,0.09218432,1.5814917311880188e-18,1.3498716823683559e-17,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PB4,0.06956887,1.964251131975275e-18,2.9582283093601667e-16,0.06696384,3.857748058793839e-24,3.87203601456715e-23,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PBa,-0.061311368,0.0090422786037993,0.1830988354255448,-0.05113543,0.2883029153822986,0.4002288490897766,LINE-1,LINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
L1PBa1,0.13819169,1.9520754520868637e-09,1.4287322330454916e-07,0.15573528,1.607615065878681e-09,9.123846761321941e-09,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L1PBb,0.07527075,0.0022028598084671,0.0558298421764875,0.049873836,0.0203351502476599,0.040394536859128,LINE-1,LINE,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L1PREC2,0.016462991,0.0001065928075495,0.0038646678158473,0.030390957,9.804834326708448e-15,7.230231571531944e-14,LINE-1,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L2,0.055688217,3.6037620722941827e-47,1.578876206932188e-44,0.06487911,3.17403905637687e-109,1.8108728090065934e-107,LINE-2,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L2-1_AMi,,,,0.072432294,0.0014477260707099,0.0038183334808992,LINE-2,LINE,right_only,False,True,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
L2-1_Crp,,,,0.11416095,0.6605056558482592,0.772371230786961,LINE-2,LINE,right_only,False,False,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
L2-3_AMi,,,,0.8388044,0.8570500419956737,0.9126151724197546,LINE-2,LINE,right_only,False,False,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
L2-3_Crp,,,,0.021936141,0.1919005945544509,0.2823882535486663,LINE-2,LINE,right_only,False,False,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
L2a,0.031586725,3.1407794076300813e-31,8.706768613603196e-29,0.03514832,2.6663082739170698e-89,1.070473395898557e-87,LINE-2,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L2b,0.032990493,2.8868702852933697e-15,3.498361900269147e-13,0.032453276,3.4503394013511155e-52,6.561698089587033e-51,LINE-2,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L2c,0.037335347,2.000423585408426e-33,6.025410483145351e-31,0.047277678,8.990219923304997e-105,4.872699198431308e-103,LINE-2,LINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L3,0.031647522,1.5535466918642786e-11,1.4105978810433175e-09,0.045589738,2.06684180835113e-41,2.909683792535877e-40,Unknown,Unknown,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
L3b,0.01803045,0.0115238792186799,0.2247766366530249,0.03558164,5.758847433300442e-08,2.986885463013243e-07,Unknown,Unknown,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
L4_A_Mam,,,,0.031543233,5.802153982380909e-07,2.6206395487087106e-06,Unknown,Unknown,right_only,False,True,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
L4_B_Mam,,,,0.017017353,0.1173271593221152,0.186484810418142,Unknown,Unknown,right_only,False,False,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
L4_C_Mam,,,,0.0638459,3.0253293216122234e-08,1.5997351144525126e-07,Unknown,Unknown,right_only,False,True,None,Up,Missing_data,0.9937739085763165,0.9353183055874946
L5,0.17727117,6.953619496210704e-10,5.28702930894535e-08,0.1780561,5.892073338342841e-09,3.2586772952875715e-08,Unknown,Unknown,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LFSINE_Vert,,,,-0.090014346,8.76903186102875e-05,0.0002979821485064,Unknown,Unknown,right_only,False,True,None,Down,Missing_data,0.9937739085763165,0.9353183055874946
LOR1-int,0.080906324,0.0002090418013661,0.0070946250798417,0.11433542,6.077104922259627e-06,2.3696337178882865e-05,Unknown,Unknown,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LOR1a,0.109358825,2.508295766989989e-05,0.0010352255474156,0.118193716,7.430506164174878e-05,0.0002540904946992,Unknown,Unknown,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LOR1b,0.05127949,0.0009749978583293,0.0276776578260956,0.04490567,0.0070571124763629,0.0157730101533556,Unknown,Unknown,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LSAU,-0.026977902,0.9189231398417332,1.0,,,,,,left_only,False,False,Down,None,Missing_data,0.9937739085763165,0.9353183055874946
LTR06,-0.37342405,0.813750898631181,1.0,-0.32925776,0.7493875347903558,0.837459884239944,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR1,0.047657005,0.4908863067554685,1.0,0.053808026,0.4571483126363045,0.5789121155347595,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
