,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type
AluSq4,7664.70292914977,-0.006384009724446164,0.09665106645916535,-0.06605213949856807,0.9473363147357144,0.9810842857354762,TE
AluSx,409762.8030255027,0.007527660889438774,0.10473033406627989,0.07187660534601943,0.9427001081139015,0.9787563744635667,TE
AluSx1,428072.12550337525,0.037649323353654514,0.09430584391239823,0.3992257721443795,0.6897268550342033,0.8678995109295796,TE
AluSx3,110622.42620279008,0.031242323962228032,0.09753705954744304,0.320312341864596,0.74873156818698,0.8953963778559137,TE
AluSx4,38197.105010955835,0.02382225755155055,0.10378204003939527,0.22954123413364888,0.8184482758178171,0.9276837598540102,TE
AluSz,372896.1002647917,0.018615378047503496,0.0998971442245999,0.18634544753001475,0.8521738695863226,0.9418141326449276,TE
AluSz6,172634.27528469884,0.014867391999492444,0.09008455123255488,0.16503819796040284,0.8689139166528687,0.9489883519666626,TE
AluY,427851.84266234277,0.02229082310653087,0.11324454160823225,0.1968379472420457,0.8439543543957149,0.937939465142607,TE
AluYa5,16915.257053994115,-0.05760018560191208,0.11159625192521591,-0.5161480301373539,0.6057510243789775,0.8216918174979343,TE
AluYa8,1029.3942647676608,-0.13243585012245668,0.1406589343108677,-0.9415388419605303,0.34642879402712573,0.6475955345632702,TE
