,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type
EFS,184.67278777849089,-1.1504895467666285,0.2650026964823369,-4.3414258120324885,1.4156107755025156e-05,0.029268172001311602,gene
ENSG00000248529,23.099084069230983,-1.0862107667354848,0.25178278159319106,-4.314078825654133,1.602697590673176e-05,0.029268172001311602,gene
ENSG00000290038,23.890962738157903,-4.417100361556882,1.045373917133746,-4.225378392516134,2.385396144284591e-05,0.03422702696170633,gene
FTLP14,17.508234471577932,-1.5530618145473785,0.3586188433473012,-4.3306754325882695,1.4865265843921156e-05,0.029268172001311602,gene
HBA2,40.52395279765007,-3.968223238513127,0.8824580486729757,-4.496784005177887,6.898900841348684e-06,0.02529233283530806,gene
MGC16275,51.27525948192497,-1.0717229583671222,0.22770561264250894,-4.706616345244399,2.518622678068036e-06,0.0207761529058223,gene
MUSK,55.621840344042084,-1.1797872350530458,0.26545447330607597,-4.444405175620153,8.813536929866408e-06,0.02529233283530806,gene
