names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
AluYk2,-4.333805,-0.119526304,1.4655404990434813e-05,9.290326906217157e-05,AluYk2,Alu,SINE
Chap1_Mam,-4.3983326,-0.13505074,1.0908572208790275e-05,6.996977677117549e-05,Chap1_Mam,Unknown,Unknown
LTR67B,-4.5021024,-0.13327631,6.7284606087184435e-06,4.341459107054043e-05,LTR67B,LTR,LTR
LTR16,-4.5103683,-0.1948828,6.471510872288516e-06,4.2006693326711084e-05,LTR16,LTR,LTR
LTR5B,-4.518334,-0.21172673,6.232812391784898e-06,4.07010158596074e-05,LTR5B,LTR,LTR
THE1B,-4.523437,-0.065983035,6.084340365931222e-06,3.99722724646633e-05,THE1B,Unknown,Unknown
MamGypLTR1d,-4.526601,-0.28091657,5.994003437636254e-06,3.961890077071768e-05,MamGypLTR1d,LTR,LTR
MER41B,-4.5324006,-0.13386272,5.831713731668388e-06,3.878268518483763e-05,MER41B,LTR,LTR
MLT2A1,-4.5932093,-0.16222186,4.364806002326151e-06,2.938788637591024e-05,MLT2A1,LTR,LTR
LTR16C,-4.6031857,-0.12572591,4.160769555568661e-06,2.818921373897768e-05,LTR16C,LTR,LTR
L1PA11,-4.610397,-0.1058529,4.01900545978964e-06,2.7400012065484085e-05,L1PA11,LINE-1,LINE
LTR62,-4.627442,-0.25144726,3.7021029932934963e-06,2.539923825778576e-05,LTR62,LTR,LTR
MER39B,-4.6701665,-0.19724475,3.009557549015502e-06,2.0912566558543616e-05,MER39B,LTR,LTR
MER51A,-4.7372518,-0.18798001,2.1663609090047206e-06,1.5150549841039465e-05,MER51A,LTR,LTR
MER21-int,-4.745469,-0.19219732,2.0802382561528952e-06,1.4642716036816484e-05,MER21-int,LTR,LTR
LTR6B,-4.799138,-0.23652312,1.5934982761163637e-06,1.1364158758619332e-05,LTR6B,LTR,LTR
LTR36,-4.8173656,-0.20229107,1.454658175015375e-06,1.0442711666997791e-05,LTR36,LTR,LTR
LTR40c,-4.985061,-0.28680944,6.194226524733054e-07,4.506403726718545e-06,LTR40c,LTR,LTR
HUERS-P3b-int,-5.0270534,-0.21659496,4.980735792344915e-07,3.648052431690464e-06,HUERS-P3b-int,Unknown,Unknown
AluYc3,-5.0294743,-0.14629944,4.91826157952151e-07,3.626799695375046e-06,AluYc3,Alu,SINE
L1PB2,-5.076873,-0.12390743,3.83697557545466e-07,2.848822961501953e-06,L1PB2,LINE-1,LINE
LTR5A,-5.095463,-0.26648197,3.478905950860599e-07,2.600782103953717e-06,LTR5A,LTR,LTR
Ricksha,-5.210525,-0.26671064,1.8830687117490622e-07,1.4175322802333218e-06,Ricksha,Unknown,Unknown
MER119,-5.249668,-0.16115558,1.5237347148104811e-07,1.1714386034429515e-06,MER119,LTR,LTR
MER41-int,-5.2572885,-0.14501014,1.4619508857677625e-07,1.1319676858373248e-06,MER41-int,LTR,LTR
MER45B,-5.326549,-0.19964172,1.0009630871842783e-07,7.806071845379551e-07,MER45B,LTR,LTR
MLT1J2-int,-5.3378835,-0.32029244,9.403791505280048e-08,7.440664227535453e-07,MLT1J2-int,LTR,LTR
AluYk3,-5.3492,-0.1346158,8.834388670778385e-08,7.041527440532184e-07,AluYk3,Alu,SINE
L1PA15-16,-5.427484,-0.18219987,5.715399118970973e-08,4.5892538110848403e-07,L1PA15-16,LINE-1,LINE
AluYh3,-5.560418,-0.13966143,2.6912942979313995e-08,2.1771365813116693e-07,AluYh3,Alu,SINE
MLT1J-int,-5.6099105,-0.2625206,2.0243104006821035e-08,1.6498890784506767e-07,MLT1J-int,LTR,LTR
AluYa8,-5.7058477,-0.19361629,1.1576529580333437e-08,9.57935730158889e-08,AluYa8,Alu,SINE
HERVK-int,-5.723672,-0.2126207,1.0424598056735847e-08,8.759894801164076e-08,HERVK-int,Unknown,Unknown
LTR8,-5.8771586,-0.16955666,4.173686339128902e-09,3.590695231441055e-08,LTR8,LTR,LTR
MER4D1,-6.014258,-0.21091466,1.80712586933378e-09,1.592621497851884e-08,MER4D1,LTR,LTR
L1PB1,-6.101912,-0.059172656,1.0480702124251922e-09,9.467567585574237e-09,L1PB1,LINE-1,LINE
FLAM_C,-6.192127,-0.044000793,5.93576092940461e-10,5.452851565656439e-09,FLAM_C,Unknown,Unknown
LFSINE_Vert,-6.2406473,-0.18632385,4.357638532698478e-10,4.072138077107888e-09,LFSINE_Vert,Unknown,Unknown
MER30,-6.341695,-0.13019949,2.272514170200563e-10,2.180004743803018e-09,MER30,LTR,LTR
MER65-int,-6.424885,-0.20665078,1.3196934065035906e-10,1.2772746898659751e-09,MER65-int,LTR,LTR
HERVIP10F-int,-6.519041,-0.34700704,7.0758336962606e-11,7.102040487728231e-10,HERVIP10F-int,Unknown,Unknown
MLT1J2,-6.577237,-0.16870883,4.7927079112870814e-11,4.947900357938282e-10,MLT1J2,LTR,LTR
MER61-int,-6.5797977,-0.17710014,4.710881490618035e-11,4.910188015221105e-10,MER61-int,LTR,LTR
L1P4a,-6.6316447,-0.22204134,3.3196651810775583e-11,3.4937058798913334e-10,L1P4a,LINE-1,LINE
LTR16A,-6.6428657,-0.19708697,3.076426110539339e-11,3.269456768455533e-10,LTR16A,LTR,LTR
AluYi6,-6.65418,-0.21839738,2.848836709466829e-11,3.057563359467369e-10,AluYi6,Alu,SINE
LTR16B1,-6.8622785,-0.32123142,6.777080053934208e-12,7.346354778464681e-11,LTR16B1,LTR,LTR
AluSq10,-7.3324366,-0.17280664,2.2600507626803814e-13,2.578836870258456e-12,AluSq10,Alu,SINE
AluYc,-7.3790574,-0.08267094,1.5941410256351367e-13,1.8383498636047745e-12,AluYc,Alu,SINE
MLT1E1A,-7.5895743,-0.21964025,3.209583689785032e-14,3.865765244141083e-13,MLT1E1A,LTR,LTR
THE1C,-7.7136073,-0.16056442,1.2231019237256436e-14,1.4897106576613457e-13,THE1C,Unknown,Unknown
AluYb8,-7.8936377,-0.15282361,2.9350375375593236e-15,3.6995124310631476e-14,AluYb8,Alu,SINE
AluYa5,-7.918334,-0.1436134,2.407140805548942e-15,3.069812509664768e-14,AluYa5,Alu,SINE
AluYg6,-7.968429,-0.27218613,1.6070425105446344e-15,2.098836242687209e-14,AluYg6,Alu,SINE
L1PA8,-8.044783,-0.102251336,8.639886220303286e-16,1.1421508125376538e-14,L1PA8,LINE-1,LINE
L1PA8A,-8.118207,-0.17849633,4.731228292897603e-16,6.410814336876252e-15,L1PA8A,LINE-1,LINE
LTR5_Hs,-8.817006,-0.3008663,1.1756087460518593e-18,1.8205141153145936e-17,LTR5_Hs,LTR,LTR
AluYk4,-9.3564205,-0.22296613,8.248402809026406e-21,1.3345177082066603e-19,AluYk4,Alu,SINE
L1P3,-9.849011,-0.19419162,6.922150582084315e-23,1.1544017278429843e-21,L1P3,LINE-1,LINE
L1MA1,-9.973274,-0.18356194,1.9953999103394337e-23,3.379708598137416e-22,L1MA1,LINE-1,LINE
LTR29,-10.7989435,-0.39874935,3.481883015461603e-27,6.290601981267296e-26,LTR29,LTR,LTR
L1PBa,-10.866202,-0.25357458,1.6700842315395465e-27,3.06842594404893e-26,L1PBa,LINE-1,LINE
MER31B,-11.325919,-0.31899208,9.76493694800522e-30,1.8902127949352962e-28,MER31B,LTR,LTR
L1PA12,-11.704365,-0.3059178,1.2106215389940076e-31,2.4302106449435266e-30,L1PA12,LINE-1,LINE
MER57-int,-12.219359,-0.38464335,2.450066311896676e-34,5.3117437641919935e-33,MER57-int,LTR,LTR
MER101,-12.721796,-0.62440205,4.474555411958831e-37,1.0320038439496538e-35,MER101,LTR,LTR
AluYj4,-13.258989,-0.20427077,4.002521267445256e-40,9.86075694070604e-39,AluYj4,Alu,SINE
AluYm1,-14.399153,-0.17125869,5.238174195425109e-47,1.494258112589689e-45,AluYm1,Alu,SINE
L1PA10,-15.788694,-0.17977786,3.7220282224578856e-56,1.18667017445422e-54,L1PA10,LINE-1,LINE
L1P2,-17.707504,-0.35371903,3.6698825679661387e-70,1.5300587321828054e-68,L1P2,LINE-1,LINE
AluY,-17.932484,-0.05239815,6.577555209282688e-72,3.2409408394829246e-70,AluY,Alu,SINE
L1PA7,-19.4351,-0.13548425,3.8964812834785056e-84,2.639866069556688e-82,L1PA7,LINE-1,LINE
L1PA6,-23.829079,-0.2669607,1.6689157739408084e-125,2.010116332168707e-123,L1PA6,LINE-1,LINE
L1HS,-25.33546,-0.40437165,1.2997652576449946e-141,2.0127793418388202e-139,L1HS,LINE-1,LINE
L1P1,-28.075384,-0.38303488,1.9574942174477718e-173,3.536539552855641e-171,L1P1,LINE-1,LINE
L1PA2,-29.369102,-0.31912023,1.3629042696822425e-189,2.9547764566711016e-187,L1PA2,LINE-1,LINE
L1PA4,-30.315739,-0.2824145,7.110812046726297e-202,1.9270300646628266e-199,L1PA4,LINE-1,LINE
L1PA5,-30.37851,-0.26883864,1.056210201856069e-202,3.816439529373263e-200,L1PA5,LINE-1,LINE
L1PA3,-31.285973,-0.28060776,7.240907700104222e-215,3.924571973456488e-212,L1PA3,LINE-1,LINE
