names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L1PBa,-1.061852,-0.05113543,0.2883029153822986,0.4002288490897766,L1PBa,LINE-1,LINE
MLT1G-int,-1.072741,-0.20095555,0.2833873214539083,0.39586579440210906,MLT1G-int,LTR,LTR
MLT1J-int,-1.096964,-0.0969714,0.2726571413387894,0.3838445989756463,MLT1J-int,LTR,LTR
LTR9A1,-1.1058702,-0.10379419,0.26878267020561064,0.37888220351480095,LTR9A1,LTR,LTR
LTR39,-1.1207103,-0.07703878,0.26241123769338737,0.37183500870540115,LTR39,LTR,LTR
LTR1A1,-1.1247878,-0.16901118,0.26067895312068934,0.37083462622418273,LTR1A1,LTR,LTR
MER97d,-1.1272746,-0.2113336,0.2596263812409323,0.370309206927856,MER97d,LTR,LTR
LTR7,-1.2120521,-0.03903044,0.22549244407111035,0.3267831676110744,LTR7,LTR,LTR
MER1A,-1.2220033,-0.02303075,0.2217063691269323,0.3217265115576902,MER1A,LTR,LTR
MER112,-1.2346388,-0.019769173,0.21696496562851486,0.3152681269990752,MER112,LTR,LTR
MER41E,-1.2830638,-0.12495061,0.1994697542781516,0.2921962346452924,MER41E,LTR,LTR
L1PA11,-1.3065839,-0.043511014,0.19135409131108805,0.28221474147104686,L1PA11,LINE-1,LINE
LTR8B,-1.315008,-0.05666676,0.18850720656525644,0.2795373624031983,LTR8B,LTR,LTR
LTR3A,-1.3779552,-0.24237657,0.1682171125653431,0.2532602083622666,LTR3A,LTR,LTR
MER68B,-1.3963871,-0.09202419,0.16259794853385334,0.24685738965083617,MER68B,LTR,LTR
LTR16C,-1.4733034,-0.024985574,0.14066923403773413,0.21783635670986254,LTR16C,LTR,LTR
Tigger13a,-1.5133371,-0.014161035,0.13019405000856046,0.2030652520996828,Tigger13a,Unknown,Unknown
MLT2D,-1.5208237,-0.023404306,0.12830409457870773,0.20069500508415467,MLT2D,LTR,LTR
AluJr4,-1.6264796,-0.02554305,0.10384767235973538,0.1675161857707636,AluJr4,Alu,SINE
LTR12B,-1.643104,-0.23267385,0.10036142328232898,0.16237579528066362,LTR12B,LTR,LTR
MER21C,-1.702378,-0.050192084,0.08868452806021847,0.14521756558501028,MER21C,LTR,LTR
MER39B,-1.7116587,-0.096137635,0.08695958829033415,0.1428245359192761,MER39B,LTR,LTR
Ricksha_0,-1.7255169,-0.08775294,0.08443435053960566,0.14016360794017232,Ricksha_0,Unknown,Unknown
MER84-int,-1.7334744,-0.25401777,0.08301139662662431,0.13822481404494738,MER84-int,LTR,LTR
MLT1J2-int,-1.7568791,-0.16457506,0.07893841058425574,0.1320512917798352,MLT1J2-int,LTR,LTR
LTR47A,-1.7809745,-0.13171007,0.07491660802896913,0.12688992458216897,LTR47A,LTR,LTR
HERVK-int,-1.8725371,-0.07565708,0.06113232894156434,0.1058585376559996,HERVK-int,Unknown,Unknown
MER58C,-1.9442257,-0.03693787,0.0518682389288737,0.09083226332616977,MER58C,LTR,LTR
MER52D,-1.9506162,-0.24654974,0.051102711093064565,0.0899274980923409,MER52D,LTR,LTR
LTR67B,-1.9560589,-0.044525422,0.050458225044117636,0.08922792161145762,LTR67B,LTR,LTR
LTR81C,-2.0182428,-0.23219451,0.04356598720995,0.078709216892643,LTR81C,LTR,LTR
MER45B,-2.031651,-0.08138223,0.04218900957285774,0.07634872517024673,MER45B,LTR,LTR
LTR5A,-2.1189187,-0.13243861,0.034097339400160034,0.06361706697035022,LTR5A,LTR,LTR
MER21-int,-2.1587365,-0.10814781,0.030870625967900574,0.05799611533657578,MER21-int,LTR,LTR
MER119,-2.1622846,-0.04896267,0.03059624753153373,0.05758043806281695,MER119,LTR,LTR
MER61F,-2.1866777,-0.37568995,0.028766065729827157,0.05451471197750462,MER61F,LTR,LTR
LTR6B,-2.201788,-0.1379082,0.027680293812714127,0.05273363531279809,LTR6B,LTR,LTR
MER96B,-2.2333114,-0.074907914,0.025528409214900585,0.049065240405943684,MER96B,LTR,LTR
LTR40c,-2.2441127,-0.20911537,0.02482515569282283,0.048051546182745555,LTR40c,LTR,LTR
LTR7B,-2.278853,-0.055451896,0.022675809953463036,0.04436927434937533,LTR7B,LTR,LTR
MER4D1,-2.2813454,-0.06373638,0.022528017610199586,0.044196195695795235,MER4D1,LTR,LTR
MER61B,-2.2919908,-0.16427214,0.021906177933688067,0.04317508523657793,MER61B,LTR,LTR
LTR13,-2.3198993,-0.11500732,0.020346325761147543,0.04039453685912809,LTR13,LTR,LTR
MER52A,-2.3509855,-0.13153335,0.018723764152685347,0.03751674739650816,MER52A,LTR,LTR
MER44A,-2.3899715,-0.040839072,0.016849684741121626,0.034140295811917465,MER44A,LTR,LTR
MER65-int,-2.4608693,-0.07314861,0.013860081285060492,0.028727204804981976,MER65-int,LTR,LTR
MamGypLTR1d,-2.5128007,-0.2167913,0.011977699685542366,0.025017006664986366,MamGypLTR1d,LTR,LTR
MER41A,-2.5230048,-0.046175733,0.011635680212703588,0.024443948353819165,MER41A,LTR,LTR
LTR7Y,-2.594537,-0.2136224,0.009471843660440639,0.02037198120618582,LTR7Y,LTR,LTR
HERVIP10F-int,-2.7971244,-0.17738579,0.005155968416859422,0.01194245676041798,HERVIP10F-int,Unknown,Unknown
MLT1J2,-3.0125215,-0.06615649,0.002590870021499299,0.006441520879140459,MLT1J2,LTR,LTR
AluJb,-3.021792,-0.033218566,0.0025128323401230816,0.006268558163698922,AluJb,Alu,SINE
HERV9N-int,-3.0233922,-0.28182903,0.0024995812600836155,0.006257612207692008,HERV9N-int,Unknown,Unknown
MER51A,-3.0342674,-0.12888277,0.002411206373335587,0.006064379834560966,MER51A,LTR,LTR
MER1B,-3.0750377,-0.05137704,0.0021047591758220473,0.005368373991979057,MER1B,LTR,LTR
LTR10F,-3.1721509,-0.1886414,0.0015131436756450735,0.003961951073428164,LTR10F,LTR,LTR
LTR36,-3.2362778,-0.14903177,0.0012109944632700135,0.0032412790078634435,LTR36,LTR,LTR
LTR62,-3.3788464,-0.23291461,0.0007279063254623351,0.0020336351979411632,LTR62,LTR,LTR
HERV17-int,-3.4632285,-0.15477425,0.0005337350496886658,0.0015511227717493665,HERV17-int,Unknown,Unknown
HERVH-int,-3.4834886,-0.049113937,0.0004949242544431821,0.001449994302206512,HERVH-int,Unknown,Unknown
MLT1E1A,-3.570785,-0.070851475,0.0003559128759795365,0.0010716932154494934,MLT1E1A,LTR,LTR
Charlie8,-3.5823696,-0.056349453,0.0003404917608719599,0.001033874142255475,Charlie8,Unknown,Unknown
AluYe6,-3.8601384,-0.12210679,0.00011332282870091165,0.00037681578623247926,AluYe6,Alu,SINE
LFSINE_Vert,-3.9223478,-0.090014346,8.76903186102875e-05,0.00029798214850643146,LFSINE_Vert,Unknown,Unknown
Charlie15a,-4.0384135,-0.07375077,5.3813884505025695e-05,0.00018577786880078932,Charlie15a,Unknown,Unknown
L1PA8,-4.125528,-0.067883246,3.6988505883024225e-05,0.00013232851609636388,L1PA8,LINE-1,LINE
MER41-int,-4.386738,-0.083893605,1.1506324183700422e-05,4.3586813459513175e-05,MER41-int,LTR,LTR
LTR16B1,-4.494295,-0.21917789,6.980077409690899e-06,2.6926704313540696e-05,LTR16B1,LTR,LTR
Alu,-4.504643,-0.07321544,6.648467287038273e-06,2.5747908064342486e-05,Alu,Alu,SINE
LTR5B,-4.5673404,-0.21285264,4.939515672952019e-06,1.947067268901814e-05,LTR5B,LTR,LTR
AluSz,-4.7580066,-0.0313422,1.955142548882386e-06,8.276608210371539e-06,AluSz,Alu,SINE
LTR12C,-4.783529,-0.108463265,1.722443113768759e-06,7.35089895797376e-06,LTR12C,LTR,LTR
MLT1G3,-4.8014336,-0.089310475,1.5753362571406372e-06,6.7764464394462335e-06,MLT1G3,LTR,LTR
AluYk11,-4.8479223,-0.11494522,1.2476129608793175e-06,5.453276006424113e-06,AluYk11,Alu,SINE
AluJr,-4.8543944,-0.030302526,1.207551837247715e-06,5.299539237151915e-06,AluJr,Alu,SINE
L1P3,-4.898758,-0.087773405,9.644447766018716e-07,4.2671760728017506e-06,L1P3,LINE-1,LINE
AluJo,-5.1893907,-0.036170475,2.10983182320391e-07,1.0119724320146187e-06,AluJo,Alu,SINE
FAM,-5.2031865,-0.06406738,1.9589984825504263e-07,9.438019355931832e-07,FAM,Unknown,Unknown
AluYa8,-5.279631,-0.16846772,1.294441077094089e-07,6.378064216227239e-07,AluYa8,Alu,SINE
THE1C,-5.312993,-0.09157898,1.0783904925901676e-07,5.411922657258063e-07,THE1C,Unknown,Unknown
LTR8,-5.316055,-0.114494674,1.060413303627121e-07,5.346455912240927e-07,LTR8,LTR,LTR
AluYc,-5.5869336,-0.03718268,2.3111423246951725e-08,1.2280775882203758e-07,AluYc,Alu,SINE
LTR16A,-5.601662,-0.12706923,2.1230613384907225e-08,1.1365340756103598e-07,LTR16A,LTR,LTR
FRAM,-6.0865197,-0.06233727,1.1539155447687608e-09,6.618224605975327e-09,FRAM,Unknown,Unknown
AluSq4,-6.162267,-0.07079451,7.171061255367438e-10,4.179263656353926e-09,AluSq4,Alu,SINE
L1PA10,-6.4102335,-0.09078255,1.452967703513155e-10,8.798977601163463e-10,L1PA10,LINE-1,LINE
AluYi6,-6.50202,-0.18196794,7.924867687221227e-11,4.880998052811256e-10,AluYi6,Alu,SINE
AluSx1,-6.58652,-0.027870795,4.502540677035336e-11,2.805031088451899e-10,AluSx1,Alu,SINE
L1PA7,-6.6198955,-0.05787478,3.594525409366487e-11,2.2653869440426e-10,L1PA7,LINE-1,LINE
AluSg4,-6.867218,-0.060630593,6.546604073687013e-12,4.2494124645968394e-11,AluSg4,Alu,SINE
FLAM_A,-7.2834144,-0.059272237,3.254750828198978e-13,2.233006264409932e-12,FLAM_A,Unknown,Unknown
LTR29,-7.3569045,-0.20097923,1.8822385687886263e-13,1.3163526506883038e-12,LTR29,LTR,LTR
AluSz6,-7.5546794,-0.03864218,4.198924788386499e-14,2.994496362244056e-13,AluSz6,Alu,SINE
MER61-int,-7.6224394,-0.14097951,2.4892645473908626e-14,1.7989085129144632e-13,MER61-int,LTR,LTR
AluSx3,-8.092114,-0.048607074,5.863780593216243e-16,4.540241545033148e-15,AluSx3,Alu,SINE
AluYe5,-8.310958,-0.13362259,9.493256163021019e-17,7.566683588760871e-16,AluYe5,Alu,SINE
AluSg7,-8.37182,-0.0648223,5.673495351374921e-17,4.555606637696603e-16,AluSg7,Alu,SINE
AluYc3,-8.514391,-0.17478955,1.6746837470478637e-17,1.3649302118796122e-16,AluYc3,Alu,SINE
AluSx4,-8.584812,-0.061082102,9.098504322612919e-18,7.586752835163387e-17,AluSx4,Alu,SINE
LTR5_Hs,-8.786578,-0.2509489,1.5418388432957018e-18,1.3264708778829689e-17,LTR5_Hs,LTR,LTR
AluYk2,-8.799095,-0.14455825,1.3792394338334972e-18,1.1960764370204087e-17,AluYk2,Alu,SINE
AluYf1,-8.825775,-0.12059767,1.087043269054287e-18,9.502862126248767e-18,AluYf1,Alu,SINE
L1P2,-8.85453,-0.16592029,8.403665617494352e-19,7.406157340946242e-18,L1P2,LINE-1,LINE
MER30,-9.384667,-0.12250455,6.311557097830353e-21,5.898041287972502e-20,MER30,LTR,LTR
AluYk3,-9.399878,-0.13541009,5.4626512682464526e-21,5.149142586764482e-20,AluYk3,Alu,SINE
