names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
LTR22C2,0.07686835,0.89045775,0.9387282785559843,1.0,LTR22C2,LTR,LTR
LTR35B,0.0761566,-0.5317242,0.9392945082277776,1.0,LTR35B,LTR,LTR
HERV1_LTRd,0.0761566,0.64582115,0.9392945082277776,1.0,HERV1_LTRd,LTR,LTR
L1MEg2,0.074733116,0.009499985,0.9404270593643903,1.0,L1MEg2,LINE-1,LINE
MER50-int,0.07402137,-0.20156929,0.9409933802587483,1.0,MER50-int,LTR,LTR
UCON74,0.072242014,0.13571994,0.9424093124072436,1.0,UCON74,Unknown,Unknown
LTR33A,0.07153027,-0.012214261,0.9429757364825637,1.0,LTR33A,LTR,LTR
LTR1A2,0.066903934,-0.1662711,0.9466581831399663,1.0,LTR1A2,LTR,LTR
LTR1F1,0.06548044,0.26692456,0.9477914766356973,1.0,LTR1F1,LTR,LTR
THE1-int,0.0647687,0.11232465,0.9483581631414452,1.0,THE1-int,Unknown,Unknown
LTR18A,0.06263347,0.08155058,0.9500583782598511,1.0,LTR18A,LTR,LTR
LTR10F,0.061565854,-0.17956267,0.950908571575468,1.0,LTR10F,LTR,LTR
LTR18C,0.060854107,22.699268,0.9514753982254298,1.0,LTR18C,LTR,LTR
LTR7A,0.060854107,23.180511,0.9514753982254298,1.0,LTR7A,LTR,LTR
UCON83,0.060854107,21.997871,0.9514753982254298,1.0,UCON83,Unknown,Unknown
L2-3_AMi,0.060854107,21.636845,0.9514753982254298,1.0,L2-3_AMi,LINE-2,LINE
UCON100,0.060854107,21.840553,0.9514753982254298,1.0,UCON100,Unknown,Unknown
LTR1C3,0.060854107,22.286259,0.9514753982254298,1.0,LTR1C3,LTR,LTR
UCON89,0.060854107,22.522938,0.9514753982254298,1.0,UCON89,Unknown,Unknown
MER88,0.060854107,22.362398,0.9514753982254298,1.0,MER88,LTR,LTR
L1P4c,0.060854107,22.812239,0.9514753982254298,1.0,L1P4c,LINE-1,LINE
UCON62,0.060854107,22.077448,0.9514753982254298,1.0,UCON62,Unknown,Unknown
LTR60,0.060854107,22.077448,0.9514753982254298,1.0,LTR60,LTR,LTR
HERV1_LTRb,0.060854107,22.850784,0.9514753982254298,1.0,HERV1_LTRb,LTR,LTR
MER133B,0.060854107,22.727924,0.9514753982254298,1.0,MER133B,LTR,LTR
Eulor9B,0.060854107,21.743544,0.9514753982254298,1.0,Eulor9B,Unknown,Unknown
MER133A,0.060854107,22.603456,0.9514753982254298,1.0,MER133A,LTR,LTR
HERV-Fc1_LTR3,0.060854107,21.820137,0.9514753982254298,1.0,HERV-Fc1_LTR3,LTR,LTR
