names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
Eulor5B,0.10491201,0.46841124,0.9164456239379296,1.0,Eulor5B,Unknown,Unknown
MLT1F1-int,0.10433954,0.07196858,0.9168998986195246,1.0,MLT1F1-int,LTR,LTR
LTR67B,0.10309503,-0.028185604,0.9178875456908462,1.0,LTR67B,LTR,LTR
MamRep1161,0.09707162,-0.16004302,0.9226695211142258,1.0,MamRep1161,Unknown,Unknown
MamRep4096,0.09682272,0.022687983,0.9228671847603134,1.0,MamRep4096,Unknown,Unknown
MER9a1,0.09124732,0.018810395,0.9272960761936296,1.0,MER9a1,LTR,LTR
Tigger1a_Mars,0.09084908,0.11174919,0.9276125134385255,1.0,Tigger1a_Mars,Unknown,Unknown
LTR109A2,0.08925611,0.8782612,0.9288783764092854,1.0,LTR109A2,LTR,LTR
LTR47B4,0.08676709,-0.11804039,0.9308566464483854,1.0,LTR47B4,LTR,LTR
L1PBa1,0.08278467,0.0046950188,0.9340227621963305,1.0,L1PBa1,LINE-1,LINE
HERV-Fc1-int,0.08241131,0.0047137295,0.9343196398449642,1.0,HERV-Fc1-int,Unknown,Unknown
LTR59,0.08183884,-0.072064064,0.9347748699667829,1.0,LTR59,LTR,LTR
MER21B,0.08154016,-0.043011468,0.9350123898108755,1.0,MER21B,LTR,LTR
MER4C,0.07947428,0.07365374,0.9366553926404791,1.0,MER4C,LTR,LTR
MER70-int,0.07842889,0.07531452,0.9374868948966457,1.0,MER70-int,LTR,LTR
Eulor3,0.07750795,20.780598,0.9382194653038475,1.0,Eulor3,Unknown,Unknown
L2-3_AMi,0.07750795,20.887463,0.9382194653038475,1.0,L2-3_AMi,LINE-2,LINE
MER34B-int,0.0766368,0.047546268,0.9389124854499845,1.0,MER34B-int,LTR,LTR
MER34D,0.076363005,0.0928702,0.9391303013623477,1.0,MER34D,LTR,LTR
HERV9NC-int,0.075740755,0.029653672,0.9396253544377348,1.0,HERV9NC-int,Unknown,Unknown
LTR108d_Mam,0.07546696,0.55563956,0.9398431851938776,1.0,LTR108d_Mam,LTR,LTR
X6A_LINE,0.072828606,0.023931619,0.9419425098381701,1.0,X6A_LINE,Unknown,Unknown
HERVK14-int,0.06804969,0.033142485,0.9457460772712486,1.0,HERVK14-int,Unknown,Unknown
MER129,0.06782568,-0.10981216,0.9459244005232336,1.0,MER129,LTR,LTR
PABL_B-int,0.06580958,0.08001894,0.9475294306457996,1.0,PABL_B-int,Unknown,Unknown
MER133A,0.064938426,0.36901346,0.9482230284537897,1.0,MER133A,LTR,LTR
HERV16-int,0.06458996,0.036711697,0.9485004785932467,1.0,HERV16-int,Unknown,Unknown
Eulor9B,0.060931105,1.1655982,0.9514140756650374,1.0,Eulor9B,Unknown,Unknown
UCON97,0.05946259,0.53128606,0.9525836634430597,1.0,UCON97,Unknown,Unknown
Tigger3,0.056177087,-0.02569868,0.9552007344172513,1.0,Tigger3,Unknown,Unknown
HERV1_LTRe,0.05540549,0.17317289,0.9558154206585333,1.0,HERV1_LTRe,LTR,LTR
HERV1_LTRa,0.054235656,0.17932339,0.9567474143187411,1.0,HERV1_LTRa,LTR,LTR
LTR22,0.053936973,0.8697749,0.956985379673896,1.0,LTR22,LTR,LTR
MLT1E3,0.05221955,0.01624286,0.9583537542123972,1.0,MLT1E3,LTR,LTR
MLT2C1,0.05174664,-1.2629944e-05,0.9587305747188453,1.0,MLT2C1,LTR,LTR
Tigger2,0.048958942,-0.020651914,0.9609520170478759,1.0,Tigger2,Unknown,Unknown
HERV1_LTRd,0.046942838,0.42065915,0.9625587858029635,1.0,HERV1_LTRd,LTR,LTR
L1MCc,0.046121463,-0.022037564,0.963213439263648,1.0,L1MCc,LINE-1,LINE
UCON83,0.04435426,0.4960986,0.964622019610787,1.0,UCON83,Unknown,Unknown
hAT-16_Crp,0.044304483,0.11488288,0.9646616995499386,1.0,hAT-16_Crp,Unknown,Unknown
UCON14,0.043657336,0.03924502,0.9651775466869474,1.0,UCON14,Unknown,Unknown
MER70B,0.04241283,0.0038644292,0.9661696011885312,1.0,MER70B,LTR,LTR
LTR108c_Mam,0.035120014,0.7749184,0.9719840431422787,1.0,LTR108c_Mam,LTR,LTR
MER34C_,0.034398198,-0.017635684,0.9725596200327746,1.0,MER34C_,LTR,LTR
MER75B,0.034049734,0.0008843565,0.9728374898719555,1.0,MER75B,LTR,LTR
Chap1_Mam,0.033950176,0.020980723,0.9729168818616162,1.0,Chap1_Mam,Unknown,Unknown
LTR12_,0.03307902,-0.005958475,0.9736115731314751,1.0,LTR12_,LTR,LTR
LTR57-int,0.03153583,-0.008486182,0.974842217903766,1.0,LTR57-int,LTR,LTR
MLT1J-int,0.030515334,0.03776109,0.9756560644621791,1.0,MLT1J-int,LTR,LTR
LTR1C3,0.02996775,0.114348084,0.9760927731176693,1.0,LTR1C3,LTR,LTR
LTR71A,0.026333787,0.018805945,0.9789911059176166,1.0,LTR71A,LTR,LTR
UCON51,0.025512412,-0.07768424,0.9796462483361658,1.0,UCON51,Unknown,Unknown
hAT-N1_Mam,0.024467025,0.027434899,0.9804800857574344,1.0,hAT-N1_Mam,Unknown,Unknown
LTR72B,0.020982403,0.013551527,0.9832596927460278,1.0,LTR72B,LTR,LTR
MER77,0.020210808,-0.0019098339,0.9838752058188028,1.0,MER77,LTR,LTR
L1M6B,0.019464104,0.02705177,0.9844708727741835,1.0,L1M6B,LINE-1,LINE
LTR7A,0.018518278,0.048326954,0.985225396636883,1.0,LTR7A,LTR,LTR
LTR1F,0.013988269,-0.043157935,0.9888393402290617,1.0,LTR1F,LTR,LTR
LTR19A,0.013515356,0.005997811,0.9892166345325466,1.0,LTR19A,LTR,LTR
Eulor2C,0.013216674,0.10865171,0.989454926919427,1.0,Eulor2C,Unknown,Unknown
HERV-Fc2-int,0.009259139,-0.21140909,0.9926123816579175,1.0,HERV-Fc2-int,Unknown,Unknown
MER84-int,0.0031112698,-0.029984597,0.9975175698984621,1.0,MER84-int,LTR,LTR
LTR32,0.0030365994,-0.009917808,0.9975771480355251,1.0,LTR32,LTR,LTR
LTR41B,0.0005724736,0.025818417,0.9995432321493484,1.0,LTR41B,LTR,LTR
HERV-Fc2_LTR,0.0,0.0,1.0,1.0,HERV-Fc2_LTR,LTR,LTR
MLT1E-int,0.0,0.0,1.0,1.0,MLT1E-int,LTR,LTR
CRP1,0.0,0.0,1.0,1.0,CRP1,Unknown,Unknown
MLT1M-int,0.0,0.0,1.0,1.0,MLT1M-int,LTR,LTR
FordPrefect_a,-0.006471441,-0.03777644,0.9948365730987845,1.0,FordPrefect_a,Unknown,Unknown
UCON89,-0.0066954526,-0.31367186,0.9946578417167976,1.0,UCON89,Unknown,Unknown
HERV-Fc1_LTR2,-0.0071683656,0.12237452,0.9942805208016228,1.0,HERV-Fc1_LTR2,LTR,LTR
LTR103_Mam,-0.009035127,0.04106342,0.9927911094359768,1.0,LTR103_Mam,LTR,LTR
Tigger19a,-0.009607601,-0.060680263,0.9923343614099664,1.0,Tigger19a,Unknown,Unknown
LTR108b_Mam,-0.009657381,0.15143943,0.9922946443068823,1.0,LTR108b_Mam,LTR,LTR
MER92C,-0.011598813,-0.1579686,0.9907456931521441,1.0,MER92C,LTR,LTR
MER130,-0.011623704,-0.1286892,0.9907258350179875,1.0,MER130,LTR,LTR
MLT1C,-0.0130424425,-0.028445758,0.9895939312475486,1.0,MLT1C,LTR,LTR
HERVH48-int,-0.015581239,0.032367185,0.9875684730072317,1.0,HERVH48-int,Unknown,Unknown
Eulor6C,-0.016551955,-0.7654408,0.9867940535554397,1.0,Eulor6C,Unknown,Unknown
LTR35A,-0.016900416,-0.07819164,0.9865160598261354,1.0,LTR35A,LTR,LTR
MSTA,-0.01737333,-0.007288733,0.9861387852471001,1.0,MSTA,Unknown,Unknown
HERVL18-int,-0.026284007,0.025571324,0.9790308111198008,1.0,HERVL18-int,Unknown,Unknown
UCON11,-0.031137588,-0.33219025,0.9751598134912755,1.0,UCON11,Unknown,Unknown
CR1-L3B_Croc,-0.032307424,-0.021328636,0.9742268878481675,1.0,CR1-L3B_Croc,Unknown,Unknown
HERV1_LTRb,-0.03300435,-0.24852815,0.9736711190364361,1.0,HERV1_LTRb,LTR,LTR
Chompy-7_Croc,-0.03305413,-0.71097165,0.9736314217501363,1.0,Chompy-7_Croc,Unknown,Unknown
LTR21C,-0.03305413,-0.8549157,0.9736314217501363,1.0,LTR21C,LTR,LTR
MER20,-0.03785793,-0.030822625,0.9698009556243603,1.0,MER20,LTR,LTR
MLT1N2-int,-0.03955046,-0.17982541,0.9684515227451727,1.0,MLT1N2-int,LTR,LTR
Eulor8,-0.041939918,-0.16090012,0.9665465957123724,1.0,Eulor8,Unknown,Unknown
UCON99,-0.043109752,-0.08238581,0.9656140441180081,1.0,UCON99,Unknown,Unknown
MLT1K-int,-0.044652943,0.039928447,0.9643839418191636,1.0,MLT1K-int,LTR,LTR
MLT1E1A-int,-0.044827174,-0.080979265,0.9642450645723619,1.0,MLT1E1A-int,LTR,LTR
MER9B,-0.04763976,-0.25156298,0.9620033420375866,1.0,MER9B,LTR,LTR
