names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
MLT2B4,-0.87658143,-0.12661247,0.38071404187735214,1.0,MLT2B4,LTR,LTR
L1PB3,-0.87714887,-0.09399738,0.3804057921764338,1.0,L1PB3,LINE-1,LINE
LTR12D,-0.8814393,-0.5886989,0.378080089684648,1.0,LTR12D,LTR,LTR
Charlie13b,-0.8903109,-0.3432834,0.373298990497656,1.0,Charlie13b,Unknown,Unknown
MLT1J2,-0.90588105,-0.10196445,0.3649988101684868,1.0,MLT1J2,LTR,LTR
L1M2a,-0.91062826,-0.11704893,0.3624912854827602,1.0,L1M2a,LINE-1,LINE
MER96B,-0.91183233,-0.15027362,0.3618569854210052,1.0,MER96B,LTR,LTR
hAT-N1_Mam,-0.9120815,-0.280969,0.3617258378215005,1.0,hAT-N1_Mam,Unknown,Unknown
L1ME5,-0.91210914,-0.102007456,0.36171126770523754,1.0,L1ME5,LINE-1,LINE
L1PBa,-0.9125105,-0.072856486,0.3615000423580116,1.0,L1PBa,LINE-1,LINE
MER34D,-0.91424054,-0.3544609,0.3605904735616011,1.0,MER34D,LTR,LTR
THE1D,-0.9404123,-0.11064527,0.3470061154748565,1.0,THE1D,Unknown,Unknown
MLT1D,-0.94532555,-0.07784117,0.34449269183230824,1.0,MLT1D,LTR,LTR
Alu,-0.9467511,-0.06833384,0.343765624526427,1.0,Alu,Alu,SINE
LTR9B,-0.96586436,-0.17238572,0.3341120461697925,1.0,LTR9B,LTR,LTR
LTR82B,-0.9769919,-0.29045364,0.32857316943113823,1.0,LTR82B,LTR,LTR
AluYi6,-0.98655546,-0.14973003,0.3238606203051798,1.0,AluYi6,Alu,SINE
HUERS-P3-int,-0.98882526,-0.27768642,0.3227486545783129,1.0,HUERS-P3-int,Unknown,Unknown
Tigger6b,-0.9962989,-0.5114648,0.3191049226292372,1.0,Tigger6b,Unknown,Unknown
